id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
1,australia,-0.9308,0.2536,1,3,3,2,75,2.8429,2004.5,37.5,1.4214
2,bangladesh,-0.5199,0.767,3,3,3,1,0,1,2023,0,1
3,belgium,-0.0682,-0.1404,1,7,8,5,148,7.587,2011.4,29.6,1.5174
5,brazil,0.1495,0.5998,2,4,4,5,282,5.837,2010.8,56.4,1.1674
6,cameroon,0.5773,-0.2964,3,2,2,1,39,1,2011,39,1
7,canada,0.6926,0.0767,2,1,1,1,34,1.186,2014,34,1.186
8,chile,0.2342,0.9686,2,1,1,1,6,1,2004,6,1
9,china,0.8252,0.4345,7,0,0,1,8,1.4545,2020,8,1.4545
10,costa rica,0.4804,-0.7485,5,1,1,1,7,0.25,2010,7,0.25
11,denmark,-0.4336,-0.2968,4,2,2,2,45,2,2009,22.5,1
12,france,-0.1826,-0.9535,5,1,1,1,7,0.25,2010,7,0.25
13,germany,0.5389,0.7152,2,3,3,4,303,5.7053,2004,75.75,1.4263
14,india,0.4279,0.342,1,1,1,2,15,1.5455,2008.5,7.5,0.7727
15,indonesia,0.1255,-0.7789,4,2,2,11,122,9.5391,2015.8182,11.0909,0.8672
16,japan,0.9591,-0.184,6,1,1,4,43,2.3974,2003.75,10.75,0.5993
17,kenya,0.2254,-0.4115,8,0,0,1,27,1,2009,27,1
19,malaysia,0.0565,0.2302,3,5,5,3,49,2.5,2013.6667,16.3333,0.8333
20,mexico,-0.2157,0.4858,2,4,6,4,282,7.6272,2006,70.5,1.9068
21,netherlands,-0.9784,-0.1563,1,4,4,2,63,2.2402,2009,31.5,1.1201
22,puerto rico,-0.5906,0.4004,9,0,0,1,37,2.3492,2017,37,2.3492
23,saudi arabia,-0.3127,0.1304,3,3,3,1,0,1,2023,0,1
24,south africa,-0.4806,-0.7127,4,1,1,1,4,1,2003,4,1
25,spain,-0.1474,0.8695,3,3,3,1,0,1,2023,0,1
26,sri lanka,-0.6486,0.0003,1,3,4,2,47,3.8429,2017.5,23.5,1.9214
27,thailand,0.8242,-0.5731,6,1,1,1,20,0.3974,2005,20,0.3974
28,united kingdom,-0.1413,-0.51,4,3,3,3,69,4.8693,2018.3333,23,1.6231
29,united states,0.3115,-0.0331,2,4,6,11,293,11.1915,2010.9091,26.6364,1.0174
30,viet nam,-0.7779,-0.4789,1,1,1,1,20,0.3974,2005,20,0.3974
