id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
2	australia	-0.2038	-0.1802	3	12	36	56	1994	62.6786	2014.1429	35.6071	1.1193
5	brazil	0.1749	-0.5115	2	6	13	23	626	41.0508	2016	27.2174	1.7848
7	canada	0.6176	0.3535	1	8	18	12	1367	14.813	2012.8333	113.9167	1.2344
9	china	0.4787	0.6418	1	3	3	11	81	4.6447	2017.7273	7.3636	0.4222
21	france	0.7005	-0.4393	2	8	19	14	248	10.6224	2015.9286	17.7143	0.7587
23	germany	-0.0004	0.28	1	10	15	14	473	19.7306	2014.2857	33.7857	1.4093
30	indonesia	-0.5874	0.451	4	6	17	22	2223	27.7162	2018.7273	101.0455	1.2598
37	malaysia	-0.7346	0.5816	4	5	6	9	140	4.8968	2017.3333	15.5556	0.5441
41	mexico	-0.0581	0.858	1	4	11	16	1555	19.2878	2014.375	97.1875	1.2055
45	netherlands	-0.276	-0.7854	5	4	5	10	180	12.2738	2016.7	18	1.2274
51	philippines	-0.3898	-0.6281	5	5	6	11	541	12.517	2015.5455	49.1818	1.1379
54	senegal	0.9186	-0.2879	2	7	12	7	58	3.7313	2019.8571	8.2857	0.533
56	south africa	0.8607	-0.0605	2	6	9	5	132	4.5043	2009.8	26.4	0.9009
65	thailand	-1.0695	-0.3845	3	2	2	6	88	3.4003	2011.5	14.6667	0.5667
67	united kingdom	-0.4168	-0.0559	3	12	33	27	1650	34.2388	2015.8889	61.1111	1.2681
68	united states	-0.0147	0.1673	1	14	53	53	5389	74.3505	2015.2453	101.6792	1.4028
