environmental assessment,,,,
industrial development,,,,
community structure,,,,
animals,animalia,bivalvia,decapoda (crustacea),
asia,,,,
resource management,,,,
north america,,,,
sustainability,,,,
population density,population dynamics,,,
aquaculture,,,,
degradation,,,,
coral reef,anthozoa,,,
fishing,,,,
atlantic ocean,,,,
biomass,,,,
forestry,,,,
coastal waters,,,,
rhizophoraceae,,,,
fish,fishes,pisces,,
seagrass,,,,
biodiversity,,,,
mangrove,,,,
fisheries,fishery,fishing,,
conservation,environmental protection,,,
ecosystems,ecosystem service,estuarine ecosystem,marine ecosystem,ecosystem modeling
wetland,wetlands,,,
climate change,,,,
human,,,,
governance approach,,,,
carbon,carbon storage,,,
china,,,,
brazil,,,,
