#,Date-Time (Indonesia Standard Time),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,02/27/2024 12:11:41,,,Logged,Logged,,
2,02/27/2024 12:11:42,,,Logged,Logged,,
3,02/27/2024 12:11:46,,,,Logged,,
4,02/27/2024 12:11:47,30.11,24.33,,,,
5,02/27/2024 12:16:47,31.61,12.57,,,,
6,02/27/2024 12:21:47,31.10,0.00,,,,
7,02/27/2024 12:26:47,30.67,0.41,,,,
8,02/27/2024 12:31:47,30.46,0.00,,,,
9,02/27/2024 12:36:47,30.20,0.00,,,,
10,02/27/2024 12:41:47,30.03,0.00,,,,
11,02/27/2024 12:46:47,29.86,0.00,,,,
12,02/27/2024 12:51:47,29.77,0.00,,,,
13,02/27/2024 12:56:47,29.64,0.00,,,,
14,02/27/2024 13:01:47,29.64,0.00,,,,
15,02/27/2024 13:06:47,29.60,0.00,,,,
16,02/27/2024 13:11:47,29.60,0.20,,,,
17,02/27/2024 13:16:47,29.60,0.20,,,,
18,02/27/2024 13:21:47,29.56,0.20,,,,
19,02/27/2024 13:26:47,29.56,0.20,,,,
20,02/27/2024 13:31:47,29.60,0.20,,,,
21,02/27/2024 13:36:47,29.64,0.00,,,,
22,02/27/2024 13:41:47,29.60,0.20,,,,
23,02/27/2024 13:46:47,29.60,0.00,,,,
24,02/27/2024 13:51:47,29.64,0.20,,,,
25,02/27/2024 13:56:47,29.60,0.00,,,,
26,02/27/2024 14:01:47,29.60,0.00,,,,
27,02/27/2024 14:06:47,29.64,0.00,,,,
28,02/27/2024 14:11:47,29.64,0.00,,,,
29,02/27/2024 14:16:47,29.86,4.54,,,,
30,02/27/2024 14:21:47,30.03,4.51,,,,
31,02/27/2024 14:26:47,30.28,6.21,,,,
32,02/27/2024 14:31:47,30.46,6.41,,,,
33,02/27/2024 14:36:47,30.63,6.00,,,,
34,02/27/2024 14:41:47,30.80,5.36,,,,
35,02/27/2024 14:46:47,30.89,49.64,,,,
36,02/27/2024 14:51:47,31.06,32.90,,,,
37,02/27/2024 14:56:47,31.44,364.00,,,,
38,02/27/2024 15:01:47,31.87,36.65,,,,
39,02/27/2024 15:06:47,32.26,32.90,,,,
40,02/27/2024 15:11:47,33.67,506.72,,,,
41,02/27/2024 15:16:47,34.79,176.64,,,,
42,02/27/2024 15:21:47,34.79,48.10,,,,
43,02/27/2024 15:26:47,34.36,20.02,,,,
44,02/27/2024 15:31:47,34.15,30.85,,,,
45,02/27/2024 15:36:47,33.93,14.78,,,,
46,02/27/2024 15:41:47,33.72,20.43,,,,
47,02/27/2024 15:46:47,33.55,22.48,,,,
48,02/27/2024 15:51:47,33.50,15.19,,,,
49,02/27/2024 15:56:47,33.63,177.36,,,,
50,02/27/2024 16:01:47,33.59,40.04,,,,
51,02/27/2024 16:06:47,33.72,29.57,,,,
52,02/27/2024 16:11:47,33.67,11.65,,,,
53,02/27/2024 16:16:47,33.67,4.95,,,,
54,02/27/2024 16:21:47,33.55,78.54,,,,
55,02/27/2024 16:26:47,33.55,13.70,,,,
56,02/27/2024 16:31:47,33.76,1127.68,,,,
57,02/27/2024 16:36:47,33.80,846.72,,,,
58,02/27/2024 16:41:47,33.80,696.64,,,,
59,02/27/2024 16:46:47,33.67,823.68,,,,
60,02/27/2024 16:51:47,33.55,757.12,,,,
61,02/27/2024 16:56:47,33.29,809.60,,,,
62,02/27/2024 17:01:47,32.94,860.80,,,,
63,02/27/2024 17:06:47,32.73,848.32,,,,
64,02/27/2024 17:11:47,32.47,836.16,,,,
65,02/27/2024 17:16:47,32.34,818.88,,,,
66,02/27/2024 17:21:47,32.17,793.28,,,,
67,02/27/2024 17:26:47,32.13,678.72,,,,
68,02/27/2024 17:31:47,32.04,561.76,,,,
69,02/27/2024 17:36:47,31.92,465.60,,,,
70,02/27/2024 17:41:47,31.87,398.08,,,,
71,02/27/2024 17:46:47,31.96,321.36,,,,
72,02/27/2024 17:51:47,31.87,246.96,,,,
73,02/27/2024 17:56:47,31.74,198.96,,,,
74,02/27/2024 18:01:47,31.70,167.52,,,,
75,02/27/2024 18:06:47,31.57,0.00,,,,
76,02/27/2024 18:11:47,31.57,11.73,,,,
77,02/27/2024 18:16:47,31.53,12.11,,,,
78,02/27/2024 18:21:47,31.57,20.79,,,,
79,02/27/2024 18:26:47,31.53,11.29,,,,
80,02/27/2024 18:31:47,31.53,3.28,,,,
81,02/27/2024 18:36:47,31.57,0.61,,,,
82,02/27/2024 18:41:47,31.53,0.00,,,,
83,02/27/2024 18:46:47,31.49,0.00,,,,
84,02/27/2024 18:51:47,31.49,0.00,,,,
85,02/27/2024 18:56:47,31.53,0.00,,,,
86,02/27/2024 19:01:47,31.57,0.00,,,,
87,02/27/2024 19:06:47,31.61,0.00,,,,
88,02/27/2024 19:11:47,31.66,0.00,,,,
89,02/27/2024 19:16:47,31.70,0.00,,,,
90,02/27/2024 19:21:47,31.74,0.00,,,,
91,02/27/2024 19:26:47,31.79,0.00,,,,
92,02/27/2024 19:31:47,31.70,0.00,,,,
93,02/27/2024 19:36:47,31.79,0.00,,,,
94,02/27/2024 19:41:47,31.70,0.00,,,,
95,02/27/2024 19:46:47,31.57,0.00,,,,
96,02/27/2024 19:51:47,31.49,0.00,,,,
97,02/27/2024 19:56:47,31.49,0.00,,,,
98,02/27/2024 20:01:47,31.44,0.00,,,,
99,02/27/2024 20:06:47,31.36,0.00,,,,
100,02/27/2024 20:11:47,31.36,0.00,,,,
101,02/27/2024 20:16:47,31.36,0.00,,,,
102,02/27/2024 20:21:47,31.44,0.00,,,,
103,02/27/2024 20:26:47,31.49,0.00,,,,
104,02/27/2024 20:31:47,31.31,0.00,,,,
105,02/27/2024 20:36:47,31.14,0.00,,,,
106,02/27/2024 20:41:47,30.84,0.00,,,,
107,02/27/2024 20:46:47,30.59,0.00,,,,
108,02/27/2024 20:51:47,30.28,0.00,,,,
109,02/27/2024 20:56:47,30.03,0.00,,,,
110,02/27/2024 21:01:47,29.90,0.00,,,,
111,02/27/2024 21:06:47,29.86,0.00,,,,
112,02/27/2024 21:11:47,30.03,0.00,,,,
113,02/27/2024 21:16:47,29.94,0.00,,,,
114,02/27/2024 21:21:47,29.90,0.00,,,,
115,02/27/2024 21:26:47,29.81,0.00,,,,
116,02/27/2024 21:31:47,29.73,0.00,,,,
117,02/27/2024 21:36:47,29.60,0.00,,,,
118,02/27/2024 21:41:47,29.47,0.00,,,,
119,02/27/2024 21:46:47,29.43,0.00,,,,
120,02/27/2024 21:51:47,29.38,0.00,,,,
121,02/27/2024 21:56:47,29.43,0.00,,,,
122,02/27/2024 22:01:47,29.34,0.00,,,,
123,02/27/2024 22:06:47,29.34,0.00,,,,
124,02/27/2024 22:11:47,29.38,0.00,,,,
125,02/27/2024 22:16:47,29.34,0.00,,,,
126,02/27/2024 22:21:47,29.26,0.00,,,,
127,02/27/2024 22:26:47,29.21,0.00,,,,
128,02/27/2024 22:31:47,29.17,0.00,,,,
129,02/27/2024 22:36:47,29.13,0.00,,,,
130,02/27/2024 22:41:47,29.04,0.00,,,,
131,02/27/2024 22:46:47,29.00,0.00,,,,
132,02/27/2024 22:51:47,29.00,0.00,,,,
133,02/27/2024 22:56:47,28.95,0.00,,,,
134,02/27/2024 23:01:47,28.95,0.00,,,,
135,02/27/2024 23:06:47,28.95,0.00,,,,
136,02/27/2024 23:11:47,28.95,0.00,,,,
137,02/27/2024 23:16:47,28.87,0.00,,,,
138,02/27/2024 23:21:47,28.83,0.00,,,,
139,02/27/2024 23:26:47,28.87,0.00,,,,
140,02/27/2024 23:31:47,28.83,0.00,,,,
141,02/27/2024 23:36:47,28.87,0.00,,,,
142,02/27/2024 23:41:47,29.00,0.00,,,,
143,02/27/2024 23:46:47,29.17,0.00,,,,
144,02/27/2024 23:51:47,29.34,0.00,,,,
145,02/27/2024 23:56:47,29.34,0.00,,,,
146,02/28/2024 00:01:47,29.30,0.00,,,,
147,02/28/2024 00:06:47,29.26,0.00,,,,
148,02/28/2024 00:11:47,29.17,0.00,,,,
149,02/28/2024 00:16:47,29.00,0.00,,,,
150,02/28/2024 00:21:47,28.95,0.20,,,,
151,02/28/2024 00:26:47,28.83,0.00,,,,
152,02/28/2024 00:31:47,28.87,0.00,,,,
153,02/28/2024 00:36:47,28.91,0.00,,,,
154,02/28/2024 00:41:47,28.87,0.00,,,,
155,02/28/2024 00:46:47,28.91,0.00,,,,
156,02/28/2024 00:51:47,29.04,0.00,,,,
