#,Date-Time (Indonesia Standard Time),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,02/27/2024 12:10:06,,,Logged,,,
2,02/27/2024 12:10:08,,,,Logged,,
3,02/27/2024 12:10:17,,,Logged,Logged,,
4,02/27/2024 12:10:20,,,Logged,,,
5,02/27/2024 12:10:24,,,,Logged,,
6,02/27/2024 12:10:25,30.20,17.48,,,,
7,02/27/2024 12:15:25,31.31,16.79,,,,
8,02/27/2024 12:20:25,31.53,0.00,,,,
9,02/27/2024 12:25:25,31.01,0.42,,,,
10,02/27/2024 12:30:25,30.71,0.00,,,,
11,02/27/2024 12:35:25,30.46,0.00,,,,
12,02/27/2024 12:40:25,30.28,0.00,,,,
13,02/27/2024 12:45:25,30.16,0.00,,,,
14,02/27/2024 12:50:25,29.98,0.00,,,,
15,02/27/2024 12:55:25,29.94,0.00,,,,
16,02/27/2024 13:00:25,29.86,0.00,,,,
17,02/27/2024 13:05:25,29.81,0.00,,,,
18,02/27/2024 13:10:25,29.86,0.21,,,,
19,02/27/2024 13:15:25,29.86,0.21,,,,
20,02/27/2024 13:20:25,29.86,0.21,,,,
21,02/27/2024 13:25:25,29.86,0.21,,,,
22,02/27/2024 13:30:25,29.86,0.00,,,,
23,02/27/2024 13:35:25,29.90,0.21,,,,
24,02/27/2024 13:40:25,29.86,0.00,,,,
25,02/27/2024 13:45:25,29.90,0.00,,,,
26,02/27/2024 13:50:25,29.94,0.21,,,,
27,02/27/2024 13:55:25,29.98,0.00,,,,
28,02/27/2024 14:00:25,29.94,0.00,,,,
29,02/27/2024 14:05:25,29.98,0.00,,,,
30,02/27/2024 14:10:25,30.03,0.00,,,,
31,02/27/2024 14:15:25,30.07,8.75,,,,
32,02/27/2024 14:20:25,30.28,8.75,,,,
33,02/27/2024 14:25:25,30.54,9.20,,,,
34,02/27/2024 14:30:25,30.76,11.13,,,,
35,02/27/2024 14:35:25,30.93,10.07,,,,
36,02/27/2024 14:40:25,31.06,3.59,,,,
37,02/27/2024 14:45:25,31.27,146.84,,,,
38,02/27/2024 14:50:25,31.53,75.96,,,,
39,02/27/2024 14:55:25,31.92,146.40,,,,
40,02/27/2024 15:00:25,32.30,94.32,,,,
41,02/27/2024 15:05:25,32.52,40.70,,,,
42,02/27/2024 15:10:25,33.85,2336.00,,,,
43,02/27/2024 15:15:25,35.69,3486.72,,,,
44,02/27/2024 15:20:25,36.25,5296.64,,,,
45,02/27/2024 15:25:25,36.38,8768.00,,,,
46,02/27/2024 15:30:25,36.12,4444.16,,,,
47,02/27/2024 15:35:25,36.16,9031.68,,,,
48,02/27/2024 15:40:25,36.16,10946.56,,,,
49,02/27/2024 15:45:25,36.29,14320.64,,,,
50,02/27/2024 15:50:25,36.93,18401.28,,,,
51,02/27/2024 15:55:25,36.51,14371.84,,,,
52,02/27/2024 16:00:25,36.42,17689.60,,,,
53,02/27/2024 16:05:25,35.95,7961.60,,,,
54,02/27/2024 16:10:25,36.03,6046.72,,,,
55,02/27/2024 16:15:25,36.16,2643.20,,,,
56,02/27/2024 16:20:25,35.95,2389.76,,,,
57,02/27/2024 16:25:25,36.08,2508.16,,,,
58,02/27/2024 16:30:25,35.95,2510.08,,,,
59,02/27/2024 16:35:25,35.56,2535.68,,,,
60,02/27/2024 16:40:25,35.43,2405.12,,,,
61,02/27/2024 16:45:25,35.48,2264.96,,,,
62,02/27/2024 16:50:25,35.65,2147.84,,,,
63,02/27/2024 16:55:25,35.69,2244.48,,,,
64,02/27/2024 17:00:25,35.56,2160.00,,,,
65,02/27/2024 17:05:25,35.35,0.00,,,,
66,02/27/2024 17:10:25,35.26,0.00,,,,
67,02/27/2024 17:15:25,35.18,0.00,,,,
68,02/27/2024 17:20:25,35.09,0.00,,,,
69,02/27/2024 17:25:25,35.00,0.00,,,,
70,02/27/2024 17:30:25,34.92,0.00,,,,
71,02/27/2024 17:35:25,34.83,0.00,,,,
72,02/27/2024 17:40:25,34.83,0.00,,,,
73,02/27/2024 17:45:25,34.75,0.00,,,,
74,02/27/2024 17:50:25,34.75,0.00,,,,
75,02/27/2024 17:55:25,34.66,0.00,,,,
76,02/27/2024 18:00:25,34.66,0.00,,,,
77,02/27/2024 18:05:25,34.62,0.00,,,,
78,02/27/2024 18:10:25,34.53,0.00,,,,
79,02/27/2024 18:15:25,34.53,0.00,,,,
80,02/27/2024 18:20:25,34.45,0.00,,,,
81,02/27/2024 18:25:25,34.32,0.00,,,,
82,02/27/2024 18:30:25,34.27,0.00,,,,
83,02/27/2024 18:35:25,34.27,0.00,,,,
84,02/27/2024 18:40:25,34.15,0.00,,,,
85,02/27/2024 18:45:25,33.97,0.00,,,,
86,02/27/2024 18:50:25,33.97,0.00,,,,
87,02/27/2024 18:55:25,33.93,0.00,,,,
88,02/27/2024 19:00:25,33.89,0.00,,,,
89,02/27/2024 19:05:25,33.85,0.00,,,,
90,02/27/2024 19:10:25,33.76,0.00,,,,
91,02/27/2024 19:15:25,33.76,0.00,,,,
92,02/27/2024 19:20:25,33.72,0.00,,,,
93,02/27/2024 19:25:25,33.63,0.00,,,,
94,02/27/2024 19:30:25,33.67,0.00,,,,
95,02/27/2024 19:35:25,33.63,0.00,,,,
96,02/27/2024 19:40:25,33.63,0.00,,,,
97,02/27/2024 19:45:25,33.55,0.00,,,,
98,02/27/2024 19:50:25,33.55,0.00,,,,
99,02/27/2024 19:55:25,33.55,0.00,,,,
100,02/27/2024 20:00:25,33.55,0.00,,,,
101,02/27/2024 20:05:25,33.46,0.00,,,,
102,02/27/2024 20:10:25,33.37,0.00,,,,
103,02/27/2024 20:15:25,33.37,0.00,,,,
104,02/27/2024 20:20:25,33.37,0.00,,,,
105,02/27/2024 20:25:25,33.29,0.00,,,,
106,02/27/2024 20:30:25,33.29,0.00,,,,
107,02/27/2024 20:35:25,33.29,0.00,,,,
108,02/27/2024 20:40:25,33.25,0.00,,,,
109,02/27/2024 20:45:25,33.16,0.00,,,,
110,02/27/2024 20:50:25,33.12,0.00,,,,
111,02/27/2024 20:55:25,33.07,0.00,,,,
112,02/27/2024 21:00:25,33.03,0.00,,,,
113,02/27/2024 21:05:25,32.99,0.00,,,,
114,02/27/2024 21:10:25,32.90,0.00,,,,
115,02/27/2024 21:15:25,32.86,0.00,,,,
116,02/27/2024 21:20:25,32.82,0.00,,,,
117,02/27/2024 21:25:25,32.77,0.00,,,,
118,02/27/2024 21:30:25,32.73,0.00,,,,
119,02/27/2024 21:35:25,32.69,0.00,,,,
120,02/27/2024 21:40:25,32.64,0.00,,,,
121,02/27/2024 21:45:25,32.60,0.00,,,,
122,02/27/2024 21:50:25,32.56,0.00,,,,
123,02/27/2024 21:55:25,32.52,0.00,,,,
124,02/27/2024 22:00:25,32.56,0.00,,,,
125,02/27/2024 22:05:25,32.43,0.00,,,,
126,02/27/2024 22:10:25,32.34,0.00,,,,
127,02/27/2024 22:15:25,32.30,0.00,,,,
128,02/27/2024 22:20:25,32.22,0.00,,,,
129,02/27/2024 22:25:25,32.17,0.00,,,,
130,02/27/2024 22:30:25,32.13,0.00,,,,
131,02/27/2024 22:35:25,32.04,0.00,,,,
132,02/27/2024 22:40:25,31.96,0.00,,,,
133,02/27/2024 22:45:25,31.92,0.00,,,,
134,02/27/2024 22:50:25,31.83,0.00,,,,
135,02/27/2024 22:55:25,31.74,0.00,,,,
136,02/27/2024 23:00:25,31.70,0.00,,,,
137,02/27/2024 23:05:25,31.66,0.00,,,,
138,02/27/2024 23:10:25,31.57,0.00,,,,
139,02/27/2024 23:15:25,31.49,0.00,,,,
140,02/27/2024 23:20:25,31.44,0.00,,,,
