#,Date-Time (Indonesia Standard Time),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Up,Button Down,Host Connected,End of File
1,02/27/2024 12:12:48,,,Logged,,,
2,02/27/2024 12:12:49,30.28,7.42,,,,
3,02/27/2024 12:17:49,31.87,0.00,,,,
4,02/27/2024 12:22:49,31.36,0.00,,,,
5,02/27/2024 12:27:49,30.93,0.20,,,,
6,02/27/2024 12:32:49,30.67,0.00,,,,
7,02/27/2024 12:37:49,30.41,0.00,,,,
8,02/27/2024 12:42:49,30.28,0.00,,,,
9,02/27/2024 12:47:49,30.16,0.20,,,,
10,02/27/2024 12:52:49,30.03,0.00,,,,
11,02/27/2024 12:57:49,29.98,0.20,,,,
12,02/27/2024 13:02:49,29.94,0.20,,,,
13,02/27/2024 13:07:49,29.90,0.41,,,,
14,02/27/2024 13:12:49,29.90,0.41,,,,
15,02/27/2024 13:17:49,29.90,0.41,,,,
16,02/27/2024 13:22:49,29.94,0.41,,,,
17,02/27/2024 13:27:49,29.94,0.20,,,,
18,02/27/2024 13:32:49,29.90,0.20,,,,
19,02/27/2024 13:37:49,29.90,0.20,,,,
20,02/27/2024 13:42:49,29.94,0.00,,,,
21,02/27/2024 13:47:49,29.94,0.20,,,,
22,02/27/2024 13:52:49,29.98,0.20,,,,
23,02/27/2024 13:57:49,30.03,0.20,,,,
24,02/27/2024 14:02:49,29.98,0.20,,,,
25,02/27/2024 14:07:49,30.03,0.20,,,,
26,02/27/2024 14:12:49,30.03,11.87,,,,
27,02/27/2024 14:17:49,30.16,6.22,,,,
28,02/27/2024 14:22:49,30.28,6.63,,,,
29,02/27/2024 14:27:49,30.50,7.48,,,,
30,02/27/2024 14:32:49,30.67,8.71,,,,
31,02/27/2024 14:37:49,30.84,6.63,,,,
32,02/27/2024 14:42:49,30.89,0.41,,,,
33,02/27/2024 14:47:49,30.93,10.41,,,,
34,02/27/2024 14:52:49,31.10,15.21,,,,
35,02/27/2024 14:57:49,31.57,364.16,,,,
36,02/27/2024 15:02:49,32.26,41.42,,,,
37,02/27/2024 15:07:49,32.82,106.28,,,,
38,02/27/2024 15:12:49,34.45,588.00,,,,
39,02/27/2024 15:17:49,34.88,288.08,,,,
40,02/27/2024 15:22:49,35.09,51.04,,,,
41,02/27/2024 15:27:49,35.09,25.91,,,,
42,02/27/2024 15:32:49,34.92,71.04,,,,
43,02/27/2024 15:37:49,34.66,76.08,,,,
44,02/27/2024 15:42:49,34.23,102.08,,,,
45,02/27/2024 15:47:49,33.93,332.48,,,,
46,02/27/2024 15:52:49,33.85,98.80,,,,
47,02/27/2024 15:57:49,34.10,95.40,,,,
48,02/27/2024 16:02:49,34.32,230.32,,,,
49,02/27/2024 16:07:49,34.36,248.80,,,,
50,02/27/2024 16:12:49,34.45,266.24,,,,
51,02/27/2024 16:17:49,34.40,88.92,,,,
52,02/27/2024 16:22:49,34.02,13.75,,,,
53,02/27/2024 16:27:49,33.59,8.94,,,,
54,02/27/2024 16:32:49,33.33,56.90,,,,
55,02/27/2024 16:37:49,32.82,424.80,,,,
56,02/27/2024 16:42:49,32.30,2363.52,,,,
57,02/27/2024 16:47:49,32.13,2215.68,,,,
58,02/27/2024 16:52:49,32.09,2064.64,,,,
59,02/27/2024 16:57:49,32.09,1888.00,,,,
60,02/27/2024 17:02:49,31.96,1832.32,,,,
61,02/27/2024 17:07:49,31.92,1806.08,,,,
62,02/27/2024 17:12:49,31.83,1750.40,,,,
63,02/27/2024 17:17:49,31.83,1765.12,,,,
64,02/27/2024 17:22:49,31.79,1745.28,,,,
65,02/27/2024 17:27:49,31.79,1616.00,,,,
66,02/27/2024 17:32:49,31.79,1363.20,,,,
67,02/27/2024 17:37:49,31.74,1152.96,,,,
68,02/27/2024 17:42:49,31.66,991.04,,,,
69,02/27/2024 17:47:49,31.70,739.84,,,,
70,02/27/2024 17:52:49,31.70,540.80,,,,
71,02/27/2024 17:57:49,31.57,392.64,,,,
72,02/27/2024 18:02:49,31.49,229.84,,,,
73,02/27/2024 18:07:49,31.44,127.28,,,,
74,02/27/2024 18:12:49,31.44,84.20,,,,
75,02/27/2024 18:17:49,31.40,59.84,,,,
76,02/27/2024 18:22:49,31.36,34.65,,,,
77,02/27/2024 18:27:49,31.40,17.29,,,,
78,02/27/2024 18:32:49,31.36,5.14,,,,
79,02/27/2024 18:37:49,31.36,1.02,,,,
80,02/27/2024 18:42:49,31.31,0.20,,,,
81,02/27/2024 18:47:49,31.27,0.00,,,,
82,02/27/2024 18:52:49,31.27,0.00,,,,
83,02/27/2024 18:57:49,31.23,0.00,,,,
84,02/27/2024 19:02:49,31.19,0.00,,,,
85,02/27/2024 19:07:49,31.19,0.00,,,,
86,02/27/2024 19:12:49,31.23,0.00,,,,
87,02/27/2024 19:17:49,31.27,0.00,,,,
88,02/27/2024 19:22:49,31.23,0.00,,,,
89,02/27/2024 19:27:49,31.23,0.00,,,,
90,02/27/2024 19:32:49,31.23,0.00,,,,
91,02/27/2024 19:37:49,31.23,0.00,,,,
92,02/27/2024 19:42:49,31.19,0.00,,,,
93,02/27/2024 19:47:49,31.19,0.00,,,,
94,02/27/2024 19:52:49,31.23,0.00,,,,
95,02/27/2024 19:57:49,31.14,0.00,,,,
96,02/27/2024 20:02:49,31.14,0.00,,,,
97,02/27/2024 20:07:49,31.10,0.00,,,,
98,02/27/2024 20:12:49,31.31,0.00,,,,
99,02/27/2024 20:17:49,31.27,0.00,,,,
100,02/27/2024 20:22:49,31.23,0.00,,,,
101,02/27/2024 20:27:49,31.14,0.00,,,,
102,02/27/2024 20:32:49,31.19,0.00,,,,
103,02/27/2024 20:37:49,31.36,0.00,,,,
104,02/27/2024 20:42:49,31.53,0.00,,,,
105,02/27/2024 20:47:49,31.66,0.00,,,,
106,02/27/2024 20:52:49,31.66,0.00,,,,
107,02/27/2024 20:57:49,31.66,0.00,,,,
108,02/27/2024 21:02:49,31.57,0.00,,,,
109,02/27/2024 21:07:49,31.44,0.00,,,,
