#,Date-Time (Indonesia Standard Time),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Up,Button Down,Host Connected,End of File
1,03/29/2024 08:00:40,,,Logged,,,
2,03/29/2024 08:00:41,30.80,58839.04,,,,
3,03/29/2024 08:05:41,29.26,2355.84,,,,
4,03/29/2024 08:10:41,29.13,1342.72,,,,
5,03/29/2024 08:15:41,29.30,3372.80,,,,
6,03/29/2024 08:20:41,29.30,2156.16,,,,
7,03/29/2024 08:25:41,29.38,2232.32,,,,
8,03/29/2024 08:30:41,29.43,2952.96,,,,
9,03/29/2024 08:35:41,29.60,3659.52,,,,
10,03/29/2024 08:40:41,29.56,3104.00,,,,
11,03/29/2024 08:45:41,29.68,3642.88,,,,
12,03/29/2024 08:50:41,29.73,3162.88,,,,
13,03/29/2024 08:55:41,29.77,3018.24,,,,
14,03/29/2024 09:00:41,29.81,3029.76,,,,
15,03/29/2024 09:05:41,29.86,5742.08,,,,
16,03/29/2024 09:10:41,29.90,4569.60,,,,
17,03/29/2024 09:15:41,29.98,6776.32,,,,
18,03/29/2024 09:20:41,29.81,4136.96,,,,
19,03/29/2024 09:25:41,29.64,4017.92,,,,
20,03/29/2024 09:30:41,29.68,3585.28,,,,
21,03/29/2024 09:35:41,29.77,3557.12,,,,
22,03/29/2024 09:40:41,29.90,3530.24,,,,
23,03/29/2024 09:45:41,29.98,3942.40,,,,
24,03/29/2024 09:50:41,30.11,3567.36,,,,
25,03/29/2024 09:55:41,30.11,3624.96,,,,
26,03/29/2024 10:00:41,30.20,3774.72,,,,
27,03/29/2024 10:05:41,30.28,3834.88,,,,
28,03/29/2024 10:10:41,30.46,3834.88,,,,
29,03/29/2024 10:15:41,30.50,3916.80,,,,
30,03/29/2024 10:20:41,30.63,3957.76,,,,
31,03/29/2024 10:25:41,30.67,4021.76,,,,
32,03/29/2024 10:30:41,30.80,4252.16,,,,
33,03/29/2024 10:35:41,30.93,4330.24,,,,
34,03/29/2024 10:40:41,31.06,4682.24,,,,
35,03/29/2024 10:45:41,31.14,4092.16,,,,
36,03/29/2024 10:50:41,31.19,3070.72,,,,
37,03/29/2024 10:55:41,31.40,5098.24,,,,
38,03/29/2024 11:00:41,31.44,5452.80,,,,
39,03/29/2024 11:05:41,31.53,5537.28,,,,
40,03/29/2024 11:10:41,31.61,5696.00,,,,
41,03/29/2024 11:15:41,31.87,6018.56,,,,
42,03/29/2024 11:20:41,32.04,5964.80,,,,
43,03/29/2024 11:25:41,32.17,6302.72,,,,
44,03/29/2024 11:30:41,32.34,6269.44,,,,
45,03/29/2024 11:35:41,32.52,6169.60,,,,
46,03/29/2024 11:40:41,32.77,5665.28,,,,
47,03/29/2024 11:45:41,32.86,5926.40,,,,
48,03/29/2024 11:50:41,33.12,6131.20,,,,
49,03/29/2024 11:55:41,33.16,5816.32,,,,
50,03/29/2024 12:00:41,33.42,6146.56,,,,
51,03/29/2024 12:05:41,33.72,6681.60,,,,
52,03/29/2024 12:10:41,33.97,6868.48,,,,
53,03/29/2024 12:15:41,34.10,6909.44,,,,
54,03/29/2024 12:20:41,34.40,6919.68,,,,
55,03/29/2024 12:25:41,35.09,6865.92,,,,
56,03/29/2024 12:30:41,35.48,7114.24,,,,
57,03/29/2024 12:35:41,35.73,7034.88,,,,
58,03/29/2024 12:40:41,35.86,6942.72,,,,
59,03/29/2024 12:45:41,35.90,6945.28,,,,
60,03/29/2024 12:50:41,35.99,6197.76,,,,
61,03/29/2024 12:55:41,35.95,5632.00,,,,
62,03/29/2024 13:00:41,36.12,6924.80,,,,
63,03/29/2024 13:05:41,36.16,6952.96,,,,
64,03/29/2024 13:10:41,36.16,6740.48,,,,
65,03/29/2024 13:15:41,36.16,7447.04,,,,
66,03/29/2024 13:20:41,36.21,7129.60,,,,
67,03/29/2024 13:25:41,36.21,6799.36,,,,
68,03/29/2024 13:30:41,36.12,2376.32,,,,
69,03/29/2024 13:35:41,36.33,6510.08,,,,
70,03/29/2024 13:40:41,35.99,1597.44,,,,
71,03/29/2024 13:45:41,35.90,1374.08,,,,
72,03/29/2024 13:50:41,35.86,2508.16,,,,
73,03/29/2024 13:55:41,35.73,1388.80,,,,
74,03/29/2024 14:00:41,35.60,920.00,,,,
75,03/29/2024 14:05:41,35.48,910.72,,,,
76,03/29/2024 14:10:41,35.43,769.28,,,,
77,03/29/2024 14:15:41,35.39,689.28,,,,
78,03/29/2024 14:20:41,35.39,634.72,,,,
79,03/29/2024 14:25:41,35.30,575.52,,,,
80,03/29/2024 14:30:41,35.22,488.32,,,,
81,03/29/2024 14:35:41,35.22,469.76,,,,
82,03/29/2024 14:40:41,35.18,487.52,,,,
83,03/29/2024 14:45:41,35.13,535.20,,,,
84,03/29/2024 14:50:41,35.18,561.44,,,,
85,03/29/2024 14:55:41,35.22,629.60,,,,
86,03/29/2024 15:00:41,35.22,665.60,,,,
87,03/29/2024 15:05:41,35.22,664.00,,,,
88,03/29/2024 15:10:41,35.22,645.76,,,,
89,03/29/2024 15:15:41,35.30,586.56,,,,
90,03/29/2024 15:20:41,35.43,535.20,,,,
91,03/29/2024 15:25:41,35.56,503.52,,,,
92,03/29/2024 15:30:41,35.56,482.40,,,,
93,03/29/2024 15:35:41,35.65,479.04,,,,
94,03/29/2024 15:40:41,35.78,492.48,,,,
95,03/29/2024 15:45:41,35.78,506.56,,,,
96,03/29/2024 15:50:41,35.65,527.68,,,,
97,03/29/2024 15:55:41,35.48,544.64,,,,
98,03/29/2024 16:00:41,35.18,552.16,,,,
99,03/29/2024 16:05:41,34.88,580.64,,,,
100,03/29/2024 16:10:41,34.70,608.48,,,,
101,03/29/2024 16:15:41,34.62,677.44,,,,
102,03/29/2024 16:20:41,34.40,685.12,,,,
103,03/29/2024 16:25:41,34.36,731.84,,,,
104,03/29/2024 16:30:41,34.27,767.68,,,,
105,03/29/2024 16:35:41,34.19,794.56,,,,
106,03/29/2024 16:40:41,34.15,822.08,,,,
107,03/29/2024 16:45:41,33.97,845.76,,,,
