#,Date-Time (Indonesia Standard Time),Temperature   (°C),Light   (lux),Host Connected,Button Down,Button Up,End of File
1,07/03/2024 11.25.08,26,34,2705,92,,,,
2,07/03/2024 11.25.34,,,Logged,,,
3,07/03/2024 11.30.08,26,34,552,96,,,,
4,07/03/2024 11.35.08,26,38,340,48,,,,
5,07/03/2024 11.40.08,26,38,317,04,,,,
6,07/03/2024 11.45.08,26,38,296,24,,,,
7,07/03/2024 11.50.08,26,34,278,72,,,,
8,07/03/2024 11.55.08,26,38,300,40,,,,
9,07/03/2024 12.00.08,26,38,337,92,,,,
10,07/03/2024 12.05.08,26,38,384,80,,,,
11,07/03/2024 12.10.08,26,47,406,56,,,,
12,07/03/2024 12.15.08,26,47,511,20,,,,
13,07/03/2024 12.20.08,26,51,602,88,,,,
14,07/03/2024 12.25.08,26,51,765,76,,,,
15,07/03/2024 12.30.08,26,55,870,40,,,,
16,07/03/2024 12.35.08,26,60,784,96,,,,
17,07/03/2024 12.40.08,26,68,583,20,,,,
18,07/03/2024 12.45.08,26,60,535,04,,,,
19,07/03/2024 12.50.08,26,64,605,28,,,,
20,07/03/2024 12.55.08,26,68,791,68,,,,
21,07/03/2024 13.00.08,26,64,934,40,,,,
22,07/03/2024 13.05.08,26,68,1095,04,,,,
23,07/03/2024 13.10.08,26,72,1149,12,,,,
24,07/03/2024 13.15.08,26,68,882,24,,,,
25,07/03/2024 13.20.08,26,72,1271,36,,,,
26,07/03/2024 13.25.08,26,90,1472,64,,,,
27,07/03/2024 13.30.08,26,90,1521,92,,,,
28,07/03/2024 13.35.08,26,94,1546,88,,,,
29,07/03/2024 13.40.08,26,90,716,48,,,,
30,07/03/2024 13.45.08,26,77,501,28,,,,
31,07/03/2024 13.50.08,26,64,490,24,,,,
32,07/03/2024 13.55.08,26,51,460,96,,,,
33,07/03/2024 14.00.08,26,47,411,36,,,,
34,07/03/2024 14.05.08,26,38,380,48,,,,
35,07/03/2024 14.10.08,26,38,437,60,,,,
36,07/03/2024 14.15.08,26,30,482,72,,,,
37,07/03/2024 14.20.08,26,30,589,92,,,,
38,07/03/2024 14.25.08,26,25,665,28,,,,
39,07/03/2024 14.30.08,26,25,657,60,,,,
40,07/03/2024 14.35.08,26,25,583,20,,,,
41,07/03/2024 14.40.08,26,21,474,40,,,,
42,07/03/2024 14.45.08,26,12,452,80,,,,
43,07/03/2024 14.50.08,26,12,425,92,,,,
44,07/03/2024 14.55.08,26,17,368,96,,,,
45,07/03/2024 15.00.08,26,12,307,92,,,,
46,07/03/2024 15.05.08,26,17,291,20,,,,
47,07/03/2024 15.10.08,26,12,296,40,,,,
48,07/03/2024 15.15.08,26,12,361,44,,,,
49,07/03/2024 15.20.08,26,08,442,08,,,,
50,07/03/2024 15.25.08,26,04,535,04,,,,
51,07/03/2024 15.30.08,26,04,668,80,,,,
52,07/03/2024 15.35.08,26,08,782,40,,,,
53,07/03/2024 15.40.08,26,08,681,28,,,,
54,07/03/2024 15.45.08,26,08,588,64,,,,
55,07/03/2024 15.50.08,26,12,666,24,,,,
56,07/03/2024 15.55.08,26,12,673,92,,,,
57,07/03/2024 16.00.08,26,17,688,00,,,,
58,07/03/2024 16.05.08,26,21,736,64,,,,
59,07/03/2024 16.10.08,26,25,839,36,,,,
60,07/03/2024 16.15.08,26,21,897,60,,,,
61,07/03/2024 16.20.08,26,21,1015,04,,,,
62,07/03/2024 16.25.08,26,17,1035,84,,,,
63,07/03/2024 16.30.08,26,17,1282,88,,,,
64,07/03/2024 16.35.08,26,12,1374,08,,,,
65,07/03/2024 16.40.08,26,08,1152,32,,,,
66,07/03/2024 16.45.08,26,04,1046,72,,,,
67,07/03/2024 16.50.08,26,04,948,48,,,,
68,07/03/2024 16.55.08,25,99,948,48,,,,
69,07/03/2024 17.00.08,25,99,912,64,,,,
70,07/03/2024 17.05.08,25,87,915,20,,,,
71,07/03/2024 17.10.08,25,99,829,44,,,,
72,07/03/2024 17.15.08,25,95,790,08,,,,
73,07/03/2024 17.20.08,25,91,672,96,,,,
74,07/03/2024 17.25.08,25,87,664,64,,,,
75,07/03/2024 17.30.08,25,82,684,80,,,,
76,07/03/2024 17.35.08,25,74,607,84,,,,
77,07/03/2024 17.40.08,25,69,388,48,,,,
78,07/03/2024 17.45.08,25,65,219,44,,,,
79,07/03/2024 17.50.08,25,57,115,56,,,,
80,07/03/2024 17.55.08,25,61,60,42,,,,
81,07/03/2024 18.00.08,25,52,32,60,,,,
82,07/03/2024 18.05.08,25,48,16,48,,,,
83,07/03/2024 18.10.08,25,44,7,28,,,,
84,07/03/2024 18.15.08,25,27,1,45,,,,
85,07/03/2024 18.20.08,25,31,0,00,,,,
86,07/03/2024 18.25.08,25,22,0,00,,,,
87,07/03/2024 18.30.08,25,31,0,00,,,,
88,07/03/2024 18.35.08,25,27,0,00,,,,
89,07/03/2024 18.40.08,25,22,0,00,,,,
90,07/03/2024 18.45.08,25,14,0,00,,,,
91,07/03/2024 18.50.08,25,14,0,00,,,,
92,07/03/2024 18.55.08,25,27,0,00,,,,
93,07/03/2024 19.00.08,25,14,0,00,,,,
94,07/03/2024 19.05.08,25,14,0,00,,,,
95,07/03/2024 19.10.08,25,22,0,00,,,,
96,07/03/2024 19.15.08,25,09,0,00,,,,
97,07/03/2024 19.20.08,25,14,0,00,,,,
98,07/03/2024 19.25.08,25,18,0,00,,,,
99,07/03/2024 19.30.08,25,05,0,00,,,,
100,07/03/2024 19.35.08,25,14,0,00,,,,
101,07/03/2024 19.40.08,25,09,0,00,,,,
102,07/03/2024 19.45.08,25,09,0,00,,,,
103,07/03/2024 19.50.08,25,14,0,00,,,,
104,07/03/2024 19.55.08,25,09,0,00,,,,
105,07/03/2024 20.00.08,25,05,0,00,,,,
106,07/03/2024 20.05.08,25,05,0,00,,,,
107,07/03/2024 20.10.08,25,05,0,00,,,,
108,07/03/2024 20.15.08,25,09,0,00,,,,
109,07/03/2024 20.20.08,25,14,0,00,,,,
110,07/03/2024 20.25.08,25,14,0,00,,,,
111,07/03/2024 20.30.08,25,09,0,00,,,,
112,07/03/2024 20.35.08,25,09,0,00,,,,
113,07/03/2024 20.40.08,25,05,0,00,,,,
114,07/03/2024 20.45.08,25,05,0,00,,,,
115,07/03/2024 20.50.08,25,14,0,00,,,,
116,07/03/2024 20.55.08,25,05,0,00,,,,
117,07/03/2024 21.00.08,25,05,0,00,,,,
118,07/03/2024 21.05.08,25,05,0,00,,,,
119,07/03/2024 21.10.08,25,05,0,00,,,,
120,07/03/2024 21.15.08,25,05,0,00,,,,
121,07/03/2024 21.20.08,25,05,0,00,,,,
122,07/03/2024 21.25.08,24,97,0,00,,,,
123,07/03/2024 21.30.08,24,97,0,00,,,,
124,07/03/2024 21.35.08,24,88,0,00,,,,
125,07/03/2024 21.40.08,24,84,0,00,,,,
126,07/03/2024 21.45.08,24,84,0,00,,,,
127,07/03/2024 21.50.08,24,79,0,00,,,,
128,07/03/2024 21.55.08,24,79,0,00,,,,
129,07/03/2024 22.00.08,24,71,0,00,,,,
130,07/03/2024 22.05.08,24,62,0,00,,,,
