DATE,DESA,SITE_TYPE,SITE_NO,SITENAME_COMBINE,DEPLOYMENT,NO_CAMERA,TIME_DROPPED,TIME_PICKEDUP,LATITUDE,LONGITUDE,WATER_DEPTH_BEFORE,WATER_DEPTH_AFTER,VIDEO_FILENAME,NO_FILES,TIME_TOTALFOOTAGE,NO_BATTERY,WEATHER,TIDE_HEIGHT,TIDE_DIRECTION,NOTES_FIELD,F1_TIME,F2_TIME,F3_TIME,F4_TIME,F5_TIME,F6_TIME,TOTALTIME_RECORDING,ANALYSISTIME_START,ANALYSISTIME_END,TOTALTIME_ANALYSIS,VISIBILITY,VEGITATION,NOTES_TIME,NO_ALLSPECIES,NO_FISHSPECIES,MAXN_UNIDGUPPY,TIME_1STUNIDGUPPY,T1_UNIDGUPPY,MAXN_GUPPYBOTH,TIME_1STGUPPYBOTH,T1_GUPPYBOTH,MAXN_GUPPYA,TIME_1STGUPPYA,T1_GUPPYA,MAXN_GUPPYB,TIME_1STGUPPYB,T1_GUPPYB,MAXN_GUPPYC,TIME_1STGUPPYC,T1_GUPPYC,MAXN_BLOWFISH,TIME_1STBLOWFISH,T1_BLOWFISH,MAXN_FISHD,TIME_1STFISHD,T1_FISHD,MAXN_FISHE,TIME_1STFISHE,T1_FISHE,MAXN_FISHF,TIME_1STFISHF,T1_FISHF,MAXN_FISHG,TIME_1STFISHG,T1_FISHG,MAXN_FISHH,TIME_1STFISHH,T1_FISHH,MAXN_FISHK,TIME_1STFISHK,T1_FISHK,MAXN_FISHL,TIME_1STFISHL,T1_FISHL,MAXN_FISHM,TIME_1STFISHM,T1_FISHM,MAXN_FISHN,TIME_1STFISHN,T1_FISHN,MAXN_KERONGKERONG,TIME_1STKERONGKERONG,T1_KERONGKERONG,MAXN_YELLOWSTRIPE,TIME_1STYELLOWSTRIPE,T1_YELLOWSTRIPE,MAXN_YL,TIME_1STYL,T1_YL,MAXN_BFLY1,TIME_1STBFLY1,T1_BFLY1,MAXN_FISHJ,TIME_FISHJ,T1_FISHJ,MAXN_VERTFISH,TIME_1STVERTFISH,T1_VERTFISH,MAXN_SANDFISH,TIME_1STSANDFISH,T1_SANDFISH,MAXN_PIPEFISH,TIME_1STPIPEFISH,T1_PIPEFISH,NOTES_SPECIES
25/04/2024,LANTANGPEO,D,4,D4,1,12,12:28,15:09,-5.468826,119.300459,30,12,25_04_2024_1228_C12_D1_LTPD4,4,2:41,B11,SUNNY,0.27,D,,0:31:28,0:25:43,0:25:43,0:00:43,,,1:23:37,0:05:28,0:17:00,1:01:09,40,90,,5,3,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,10,0:12:43,0:07:15,,,NA,,,NA,,,NA,,,NA,1,51:03:00,50:57:32,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,3,0:31:52,0:26:24,
25/04/2024,LANTANGPEO,L,6,L6,2,1,12:51,15:09,-5.468651,119.300428,31,18,25_04_2024_1251_C2_D2_LTPL6,4,2:18,B3,SUNNY,0.26,D,,0:28:31,0:26:16,0:31:44,,,,1:26:31,0:05:46,0:20:00,1:00:45,80,90,,5,4,1,0:07:50,0:02:04,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:41:24,0:35:38,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:06:00,0:00:14,4,0:06:21,0:00:35,
25/04/2024,LANTANGPEO,L,5,L5,3,11,13:06,15:00,-5.468251,119.301957,19,5,25_04_2024_1306_C11_D3_LTPL5,3,1:54,B21,SUNNY,0.26,D,ULANGI. AIR TURUN,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
25/04/2024,LANTANGPEO,D,5,D5,4,CNEW,13:00,15:00,-5.468265,119.302079,21,8,25_04_2024_1300_CNEW_D4_LTPD5,4,2:00,B2,SUNNY,0.26,D,ULANGI. AIR TURUN,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
25/04/2024,LANTANGPEO,L,4,L4,5,5,13:22,14:51,-5.466377,119.30229,30,18,25_04_2024_1322_C5_D5_LTPL4,2,1:29,B14,SUNNY,0.24,D,,0:32:49,0:27:56,,,,,1:00:45,0:09:00,,0:51:45,,,,4,2,,,NA,,,NA,1,0:37:32,0:28:32,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,3,0:09:15,0:00:15,
25/04/2024,LANTANGPEO,D,6,D6,6,14,13:30,14:51,-5.467135,119.302812,22,10,25_04_2024_1330_C14_D6_LTPD6,3,1:21,B19,SUNNY,0.24,D,,0:25:43,0:25:43,0:06:20,,,,0:57:46,0:05:48,,0:51:58,70,50,,4,2,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:15:13,0:09:25,4,0:08:31,0:02:43,
26/04/2024,LANTANGPEO,D,5,D5,1,11,10:05,16:34,-5.468265,119.302079,29,NA,26_04_2024_1005_C11_D1_LTPD5,3,6:29,B29,SUNNY,0.21,I,"REDO, CAMERA KEPT IN WATER FOR HOURS. END WATER DEPTH 5 CM",0:30:45,0:26:05,0:07:04,,,,1:03:54,0:05:38,,0:58:16,90,70,,5,3,1,0:48:08,0:42:30,1,0:45,0:39:51,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,3,0:05,0:00:15,1,0:37,0:31:52,
26/04/2024,LANTANGPEO,L,5,L5,2,1,10:06,16:34,-5.468251,119.301957,26,NA,26_04_2024_1006_C1_D2_LTPL5,3,6:28,B20,SUNNY,0.21,I,"REDO, CAMERA KEPT IN WATER FOR HOURS. END WATER DEPTH 1 CM",0:37:19,0:31:20,0:18:13,,,,1:26:52,0:06:40,0:18:13,1:01:59,100,15,,5,2,,,NA,27,0:11:35,0:04:55,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:24:41,0:18:01,
26/04/2024,LANTANGPEO,E,6,E6,3,12,10:30,12:19,-5.463902,119.28802,40,37,26_04_2024_1030_C12_D3_LTPE6,3,1:49,B18,SUNNY,0.23,I,ULANGI. SAMPAH,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
26/04/2024,LANTANGPEO,E,4,E4,4,CNEW,10:36,12:15,-5.463951,119.287291,64,62,26_04_2024_1036_CNEW_D4_LTPE4,4,1:39,B6,SUNNY,0.23,I,,0:21:24,0:21:24,0:21:24,0:18:17,,,1:22:29,0:05:44,0:17:17,0:59:28,100,100,,8,6,1,0:40:17,0:34:33,,,NA,,,NA,,,NA,,,NA,1,0:24:30,0:18:46,,,NA,,,NA,39,0:07:19,0:01:35,,,NA,,,NA,1,0:06,0:00:32,,,NA,1,0:06:16,0:00:32,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:59:59,0:54:15,,,NA,,,NA,
