DATE,DESA,SITE_TYPE,SITE_NO,SITENAME_COMBINE,DEPLOYMENT,NO_CAMERA,TIME_DROPPED,TIME_PICKEDUP,LATITUDE,LONGITUDE,WATER_DEPTH_BEFORE,WATER_DEPTH_AFTER,VIDEO_FILENAME,NO_FILES,TIME_TOTALFOOTAGE,NO_BATTERY,WEATHER,TIDE_HEIGHT,TIDE_DIRECTION,NOTES_FIELD,F1_TIME,F2_TIME,F3_TIME,F4_TIME,F5_TIME,F6_TIME,TOTALTIME_RECORDING,ANALYSISTIME_START,ANALYSISTIME_END,TOTALTIME_ANALYSIS,VISIBILITY,VEGITATION,NOTES_TIME,NO_ALLSPECIES,NO_FISHSPECIES,MAXN_UNIDGUPPY,TIME_1STUNIDGUPPY,T1_UNIDGUPPY,MAXN_GUPPYBOTH,TIME_1STGUPPYBOTH,T1_GUPPYBOTH,MAXN_GUPPYA,TIME_1STGUPPYA,T1_GUPPYA,MAXN_GUPPYB,TIME_1STGUPPYB,T1_GUPPYB,MAXN_GUPPYC,TIME_1STGUPPYC,T1_GUPPYC,MAXN_BLOWFISH,TIME_1STBLOWFISH,T1_BLOWFISH,MAXN_FISHD,TIME_1STFISHD,T1_FISHD,MAXN_FISHE,TIME_1STFISHE,T1_FISHE,MAXN_FISHF,TIME_1STFISHF,T1_FISHF,MAXN_FISHG,TIME_1STFISHG,T1_FISHG,MAXN_FISHH,TIME_1STFISHH,T1_FISHH,MAXN_FISHK,TIME_1STFISHK,T1_FISHK,MAXN_FISHL,TIME_1STFISHL,T1_FISHL,MAXN_FISHM,TIME_1STFISHM,T1_FISHM,MAXN_FISHN,TIME_1STFISHN,T1_FISHN,MAXN_KERONGKERONG,TIME_1STKERONGKERONG,T1_KERONGKERONG,MAXN_YL,TIME_1STYL,T1_YL,MAXN_BFLY1,TIME_1STBFLY1,T1_BFLY1,MAXN_FISHJ,TIME_FISHJ,T1_FISHJ,MAXN_GARONGGONG,TIME_1STGARONGGONG,T1_GARONGGONG,MAXN_VERTFISH,TIME_1STVERTFISH,T1_VERTFISH,MAXN_SANDFISH,TIME_1STSANDFISH,T1_SANDFISH,MAXN_PIPEFISH,TIME_1STPIPEFISH,T1_PIPEFISH,NOTES_SPECIES
28/05/2024,TOMPOTANA,D,2,D2,1,1,13:02,15:20,-5.488066,119.313127,50,49,28_05_2024_1302_C1_D1_TMPD2,4,2:18,BN1,SLIGHTLY CLOUDY,0.52,I,,0:26:53,0:25:43,0:25:43,0:04:29,,,1:22:48,0:05:29,0:14:29,1:02:50,80,90,,6,6,,,NA,1,0:56:50,0:51:21,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:13:00,0:07:31,,,NA,,,NA,3,0:25,0:20:29,,,NA,,,NA,3,0:05:32,0:00:03,1,0:46:58,0:41:29,,,NA,,,NA,,,NA,1,0:09:20,0:03:51,,,NA,,,NA,,,NA,
28/05/2024,TOMPOTANA,E,1,E1,2,5,13:10,14:56,-5.490191,119.311859,80,80,28_05_2024_1310_C5_D2_TMPE1,3,1:46,B14,SLIGHTLY CLOUDY,0.52,I,,0:26:43,0:27:55,0:11:21,,,,1:05:59,0:06:27,,0:59:32,100,45,,4,4,44,0:09:22,0:02:55,,,NA,4,0:13:32,0:07:05,,,NA,,,NA,,,NA,,,NA,,,NA,18,0:06:22,###############################################################################################################################################################################################################################################################,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:16:32,0:10:05,
28/05/2024,TOMPOTANA,E,2,E2,3,12,13:16,15:11,-5.491987,119.312573,64,74,28_05_2024_1316_C12_D3_TMPE2,3,1:55,B25,SLIGHTLY CLOUDY,0.61,I,,0:25:42,0:25:43,0:12:36,,,,1:04:01,0:07:12,,0:56:49,100,100,,5,4,,,NA,2,0:42:56,0:35:44,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,53,0:07:12,0:00:00,,,NA,,,NA,1,0:21:36,0:14:24,,,NA,1,0:16:20,0:09:08,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
28/05/2024,TOMPOTANA,D,3,D3,5,CNEW,13:34,14:48,-5.488916,119.309448,67,55,28_05_2024_1334_CNEW_D5_TMPD3,4,1:14,B18,SLIGHTLY CLOUDY,0.61,I,,0:22:32,0:21:24,0:21:24,0:21:24,,,1:26:44,0:05:36,0:16:24,1:04:44,100,90,,4,2,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,3,0:09:17,0:03:41,,,NA,,,NA,1,0:22:53,0:17:17,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
29/05/2024,TOMPOTANA,E,3,E3,1,CNEW,12:28,15:04,-5.49282,119.31198,58,57,29_05_2024_1228_C1_D1_TMPE3,3,2:36,UNNUMBER,SUNNY,0.17,I,,0:26:58,0:23:39,0:21:24,,,,1:12:01,0:06:37,,1:05:24,90,100,,8,8,1,0:21:53,0:15:16,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,4,0:10:30,0:03:53,,,NA,,,NA,2,0:14:29,0:07:52,2,0:45:19,0:38:42,2,0:43:34,0:36:57,,,NA,1,0:21:55,0:15:18,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,3,0:19:13,0:12:36,
29/05/2024,TOMPOTANA,L,1,L1,2,12,12:47,14:47,-5.481016,119.311281,57,60,29_05_2024_1247_C12_D2_TMPL1,3,2:00,B20,SUNNY,0.27,I,,0:43:28,0:34:20,0:02:51,,,,1:20:39,0:06:19,0:22:11,0:52:09,50,100,,5,5,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:13:16,0:06:57,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:28:30,0:22:11,,,NA,,,NA,1,0:31:12,0:24:53,,,NA,1,0:23:18,0:16:59,,,NA,,,NA,4,0:06:38,0:00:19,
29/05/2024,TOMPOTANA,L,2,L2,3,1,12:55,14:42,-5.481132,119.31211,57,63,29_05_2024_1255_C1_D3_TMPL2,3,1:47,B6,SUNNY,0.27,I,,0:36:16,0:32:39,0:41:03,,,,1:49:58,0:06:35,0:41:03,1:02:20,60,30,,7,6,2,0:19:40,0:13:05,3,0:11,0:05:17,2,0:20:48,0:14:13,,,NA,,,NA,,,NA,,,NA,1,0:20:48,0:14:13,1,0:22:21,0:15:46,,,NA,,,NA,,,NA,,,NA,1,0:20:48,0:14:13,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:08,0:02:02,
29/05/2024,TOMPOTANA,D,1,D1,4,14,13:05,14:31,-5.479324,119.311574,68,70,29_05_2024_1305_C14_D4_TMPD1,3,1:26,B11,SUNNY,0.27,I,,0:32:56,0:31:29,0:02:16,,,,1:06:41,0:05:48,,1:00:53,100,30,,5,4,,,NA,1,0:21:53,0:16:05,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,3,0:05:48,0:00:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:46:32,0:40:44,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
29/05/2024,TOMPOTANA,L,3,L3,5,11,13:15,14:34,-5.47936,119.312033,53,58,29_05_2024_1434_C11_D5_TMPL3,2,1:19,B24,SUNNY,0.27,I,,0:34:30,0:34:01,,,,,1:08:31,0:05:56,,1:02:35,60,100,,5,5,,,NA,25,0:08:55,0:02:59,,,NA,,,NA,,,NA,1,1:07:57,1:02:01,,,NA,,,NA,2,0:14:57,0:09:01,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:30:07,0:24:11,1,0:06:22,0:00:26,
30/05/2024,LANTANGPEO,L,6,L6,1,11,15:53,17:57,-5.468651,119.300428,37,35,30_05_2024_1553_C11_D1_LTPL6,3,2:04,BN1,SUNNY,0.48,I,,0:44:07,0:41:32,0:24:25,,,,1:50:04,0:10:43,0:35:00,1:04:21,70,90,,2,2,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:14:13,0:03:30,,,NA,17,0:23:39,0:12:56,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
30/05/2024,LANTANGPEO,D,4,D4,2,1,15:56,17:56,-5.468826,119.300459,40,38,30_05_2024_1556_C1_D2_LTPD4,3,2:00,B2,SUNNY,0.48,I,,0:26:13,0:35:42,0:10:55,,,,1:12:50,0:05:22,0:05:55,1:01:33,90,60,,3,1,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:06:59,0:01:37,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
30/05/2024,LANTANGPEO,D,5,D5,3,14,16:03,17:49,-5.468265,119.302079,30,25,30_05_2024_1603_C14_D3_LTPD5,3,1:46,B18,SUNNY,0.48,I,,0:25:43,0:26:56,0:26:28,,,,1:19:07,0:06:57,0:16:29,0:55:41,80,60,,2,0,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
30/05/2024,LANTANGPEO,L,5,L5,4,5,16:06,17:50,-5.468251,119.301957,40,20,30_05_2024_1606_C5_D4_LTPL5,3,1:44,B19,SUNNY,0.48,I,,0:38:07,0:40:02,0:02:52,,,,1:21:01,0:06:16,0:12:52,1:01:53,100,30,,4,2,,,NA,,,NA,4,0:16:46,0:10:30,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,4,0:06:22,0:00:06,
