DATE,DESA,SITE_TYPE,SITE_NO,SITENAME_COMBINE,DEPLOYMENT,NO_CAMERA,TIME_DROPPED,TIME_PICKEDUP,LATITUDE,LONGITUDE,WATER_DEPTH_BEFORE,WATER_DEPTH_AFTER,VIDEO_FILENAME,NO_FILES,TIME_TOTALFOOTAGE,NO_BATTERY,WEATHER,TIDE_HEIGHT,TIDE_DIRECTION,NOTES_FIELD,F1_TIME,F2_TIME,F3_TIME,F4_TIME,F5_TIME,F6_TIME,TOTALTIME_RECORDING,ANALYSISTIME_START,ANALYSISTIME_END,TOTALTIME_ANALYSIS,VISIBILITY,VEGITATION,NOTES_TIME,NO_ALLSPECIES,NO_FISHSPECIES,MAXN_UNIDGUPPY,TIME_1STUNIDGUPPY,T1_UNIDGUPPY,MAXN_GUPPYBOTH,TIME_1STGUPPYBOTH,T1_GUPPYBOTH,MAXN_GUPPYA,TIME_1STGUPPYA,T1_GUPPYA,MAXN_GUPPYB,TIME_1STGUPPYB,T1_GUPPYB,MAXN_GUPPYC,TIME_1STGUPPYC,T1_GUPPYC,MAXN_BLOWFISH,TIME_1STBLOWFISH,T1_BLOWFISH,MAXN_FISHD,TIME_1STFISHD,T1_FISHD,MAXN_FISHE,TIME_1STFISHE,T1_FISHE,MAXN_FISHF,TIME_1STFISHF,T1_FISHF,MAXN_FISHG,TIME_1STFISHG,T1_FISHG,MAXN_FISHH,TIME_1STFISHH,T1_FISHH,MAXN_FISHK,TIME_1STFISHK,T1_FISHK,MAXN_FISHL,TIME_1STFISHL,T1_FISHL,MAXN_FISHM,TIME_1STFISHM,T1_FISHM,MAXN_FISHN,TIME_1STFISHN,T1_FISHN,MAXN_KERONGKERONG,TIME_1STKERONGKERONG,T1_KERONGKERONG,MAXN_YL,TIME_1STYL,T1_YL,MAXN_BFLY1,TIME_1STBFLY1,T1_BFLY1,MAXN_FISHJ,TIME_FISHJ,T1_FISHJ,MAXN_VERTFISH,TIME_1STVERTFISH,T1_VERTFISH,MAXN_SANDFISH,TIME_1STSANDFISH,T1_SANDFISH,MAXN_PIPEFISH,TIME_1STPIPEFISH,T1_PIPEFISH,NOTES_SPECIES
3/7/2024,LANTANGPEO,E,6,E6,1,11,8:35,10:33,-5.463902,119.28802,68,60,03_07_2024_0835_C11_D1_LTPE6,3,1:58,B24,RAINY,0.78,I,,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
3/7/2024,LANTANGPEO,D,5,D5,7,11,11:15,13:02,-5.468265,119.302079,31,0,03_07_2024_1115_C11_D7_LTPD5,3,1:47,B14,RAINY,0.62,D,AIR TURUN. ULANGI,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
3/7/2024,LANTANGPEO,E,5,E5,2,5,8:56,10:07,-5.462089,119.286874,71,70,03_07_2024_0856_C5_D2_LTPE5,3,1:11,B20,RAINY,0.82,I,,0:25:43,0:29:57,0:05:57,,,,1:01:37,0:02:00,,0:59:37,90,80,,1,1,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,10,0:04:00,0:02:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
3/7/2024,LANTANGPEO,L,5,L5,6,5,11:10,13:02,-5.468251,119.301957,23,1,03_07_2024_1110_C5_D6_LTPL5,3,1:52,B25,RAINY,0.62,D,AIR TURUN. ULANGI,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
3/7/2024,LANTANGPEO,E,4,E4,3,14,9:13,10:35,-5.463951,119.287291,85,71,03_07_2024_0913_C14_D3_LTPE4,4,1:22,BN2,RAINY,0.82,I,,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
3/7/2024,LANTANGPEO,D,4,D4,5,14,11:00,12:55,-5.468826,119.300459,41,9,03_07_2024_1100_C14_D5_LTPD4,3,1:55,UNNAME,RAINY,0.62,D,,0:34:46,0:32:19,0:17:59,,,,1:25:04,0:08:00,0:12:59,1:04:05,100,25,,7,3,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,7,0:15:50,0:07:50,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:21:35,0:13:35,1,0:56:46,0:48:46,
3/7/2024,LANTANGPEO,L,6,L6,4,CNEW,10:56,12:55,-5.468651,119.300428,45,10,03_07_2024_1056_CNEW_D4_LTPL6,4,1:59,B21,RAINY,0.62,D,AIR TURUN. ULANGI,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
3/7/2024,LANTANGPEO,L,4,L4,8,1,11:32,13:08,-5.466377,119.30229,31,10,03_07_2024_1132_C1_D8_LTPL4,3,1:36,B11,RAINY,0.48,D,AIR TURUN. ULANGI,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
3/7/2024,LANTANGPEO,D,6,D6,9,12,11:40,13:08,-5.467135,119.302812,21,0,03_07_2024_1140_C12_D9_LTPD6,4,1:28,BN1,RAINY,0.48,D,AIR TURUN. ULANGI,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
4/7/2024,LANTANGPEO,L,6,L6,1,5,9:28,11:29,-5.468651,119.300428,61,43,04_07_2024_0928_C5_D1_LTPL6,2,2:01,B21,SUNNY,0.81,I,REDO,0:39:45,0:37:06,,,,,1:16:51,0:07:00,0:08:00,1:01:51,50,30,,2,2,,,NA,1,0:17:27,0:10:27,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,6,0:07:03,0:00:03,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
4/7/2024,TOMPOTANA,E,3,E3,7,5,12:17,14:22,-5.49282,119.31198,55,25,04_07_2024_1217_C5_D7_TMPE3,4,2:05,BN1,SUNNY,0.44,D,,0:25:42,0:25:42,0:24:43,0:07:41,,,1:23:48,0:05:50,0:17:41,1:00:17,100,100,,4,2,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,6,0:07:21,0:01:31,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
4/7/2024,LANTANGPEO,D,5,D5,2,12,9:40,11:22,-5.468265,119.302079,43,35,04_07_2024_0940_C12_D2_LTPD5,3,1:42,B3,SUNNY,0.81,I,REDO,0:25:43,0:25:43,0:13:54,,,,1:05:20,0:06:17,,0:59:03,,,,1,0,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
4/7/2024,LANTANGPEO,L,5,L5,3,11,9:40,11:22,-5.468251,119.301957,50,30,04_07_2024_0940_C11_D3_LTPL5,2,1:42,B24,SUNNY,0.81,I,REDO,0:30:01,0:32:34,,,,,1:02:35,0:04:20,,0:58:15,100,25,,3,3,,,NA,11,0:12:39,0:08:19,,,NA,,,NA,,,NA,1,0:30:41,0:26:21,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:05:31,0:01:11,
4/7/2024,LANTANGPEO,L,4,L4,4,14,9:50,11:15,-5.466377,119.30229,59,46,04_07_2024_0950_C14_D4_LTPL4,3,1:25,B20,SUNNY,0.84,I,REDO,0:25:43,0:25:43,0:19:05,,,,1:10:31,0:05:33,0:05:00,0:59:58,70,80,,5,4,,,NA,2,0:10:59,0:05:26,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,8,0:25:36,0:20:03,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:39:21,0:33:48,
4/7/2024,TOMPOTANA,E,1,E1,8,1,12:35,14:44,-5.490191,119.311859,45,5,04_07_2024_1235_C1_D8_TMPE1,4,2:09,B18,SUNNY,0.44,D,,0:25:42,0:25:43,0:25:43,0:10:11,,,1:27:19,0:06:00,0:20:11,1:01:08,100,100,,5,3,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,26,0:06:00,0:00:00,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:15:54,0:09:54,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
