MONTH,DATE,DESA,SITE_TYPE,SITE_NO,SITENAME_COMBINE,DEPLOYMENT,NO_CAMERA,TIME_DROPPED,TIME_PICKEDUP,LATITUDE,LONGITUDE,WATER_DEPTH_BEFORE,WATER_DEPTH_AFTER,VIDEO_FILENAME,NO_FILES,TIME_TOTALFOOTAGE,NO_BATTERY,WEATHER,TIDE_HEIGHT,TIDE_DIRECTION,NOTES_FIELD,F1_TIME,F2_TIME,F3_TIME,F4_TIME,F5_TIME,F6_TIME,TOTALTIME_RECORDING,ANALYSISTIME_START,ANALYSISTIME_END,TOTALTIME_ANALYSIS,VISIBILITY,VEGITATION,NOTES_TIME,NO_ALLSPECIES,NO_FISHSPECIES,MAXN_UNIDGUPPY,TIME_1STUNIDGUPPY,T1_UNIDGUPPY,MAXN_GUPPYBOTH,TIME_1STGUPPYBOTH,T1_GUPPYBOTH,MAXN_GUPPYA,TIME_1STGUPPYA,T1_GUPPYA,MAXN_GUPPYB,TIME_1STGUPPYB,T1_GUPPYB,MAXN_GUPPYC,TIME_1STGUPPYC,T1_GUPPYC,MAXN_BLOWFISH,TIME_1STBLOWFISH,T1_BLOWFISH,MAXN_FISHA,TIME_1STFISHA,T1_FISHA,MAXN_FISHD,TIME_1STFISHD,T1_FISHD,MAXN_FISHE,TIME_1STFISHE,T1_FISHE,MAXN_FISHF,TIME_1STFISHF,T1_FISHF,MAXN_FISHG,TIME_1STFISHG,T1_FISHG,MAXN_FISHH,TIME_1STFISHH,T1_FISHH,MAXN_FISHK,TIME_1STFISHK,T1_FISHK,MAXN_FISHL,TIME_1STFISHL,T1_FISHL,MAXN_FISHM,TIME_1STFISHM,T1_FISHM,MAXN_FISHN,TIME_1STFISHN,T1_FISHN,MAXN_FISHO,TIME_1STFISHO,T1_FISHO,MAXN_FISHP,TIME_1STFISHP,T1_FISHP,MAXN_FISHQ,TIME_1STFISHQ,T1_FISHQ,MAXN_FISHR,TIME_1STFISHR,T1_FISHR,MAXN_FISHS,TIME_1STFISHS,T1_FISHS,MAXN_KERONGKERONG,TIME_1STKERONGKERONG,T1_KERONGKERONG,MAXN_YL,TIME_1STYL,T1_YL,MAXN_BFLY1,TIME_1STBFLY1,T1_BFLY1,MAXN_CHEETAGIRLZ,TIME_1STCHEETAGIRLZ,T1_CHEETAGIRLZ,MAXN_FISHJ,TIME_FISHJ,T1_FISHJ,MAXN_EYELINER,TIME_1STEYELINER,T1_EYELINER,MAXN_VERTFISH,TIME_1STVERTFISH,T1_VERTFISH,MAXN_BIGBOI,TIME_1STBIGBOI,T1_BIGBOI,MAXN_SANDFISH,TIME_1STSANDFISH,T1_SANDFISH,MAXN_PIPEFISH,TIME_1STPIPEFISH,T1_PIPEFISH,NOTES_SPECIES
JULY,30/07/2024,TOMPOTANA,D,2,D2,1,5,6:39,9:14,-5.488066,119.313127,65,48,30_07_2024_0639_C5_D1_TMPD2,3,2:35,B18,SUNNY,0.58,I,,0:30:44,0:25:40,0:13:11,,,,1:09:35,0:05:27,0:03:11,1:00:57,100,80,,8,7,,,NA,,,NA,5,0:24:56,0:19:29,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:23,0:18:00,,,NA,,,NA,1,0:23:27,0:18:00,1,0:54:10,0:48:43,,,NA,2,0:28:45,0:23:18,,,NA,,,NA,1,0:48:45,0:43:18,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
JULY,30/07/2024,TOMPOTANA,D,3,D3,2,14,6:46,9:20,-5.488916,119.309448,73,52,30_07_2024_0646_C14_D2_TMPD3,3,2:34,B6,SUNNY,0.59,I,,0:26:47,0:26:46,0:12:27,,,,1:06:00,0:05:28,,1:00:32,100,90,,8,7,1,0:28:46,0:23:18,15,0:05:56,0:00:28,,,NA,2,0:34:18,0:28:50,,,NA,,,NA,1,0:15:50,0:10:22,,,NA,1,0:26:36,0:21:08,3,0:09:00,0:03:32,,,NA,,,NA,1,0:30:10,0:24:42,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:06:36,0:01:08,,,NA,,,NA,,,NA,,,NA,7,0:38:34,0:33:06,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
JULY,30/07/2024,TOMPOTANA,E,1,E1,3,CNEW,7:21,9:08,-5.490191,119.311859,93,80,30_07_2024_0721_CNEW_D3_TMPE1,5,1:47,B21,SUNNY,0.57,D,,0:21:24,0:21:24,0:21:24,0:21:24,0:14:14,,1:39:50,0:06:51,0:30:38,1:02:21,100,100,,2,2,,,NA,2,0:46:19,0:39:28,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,3,0:11:19,0:04:28,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
JULY,30/07/2024,TOMPOTANA,E,2,E2,4,11,7:30,9:02,-5.491987,119.312573,92,80,30_07_2024_0730_C11_D4_TMPE2,2,1:32,UNNAME,SUNNY,0.57,D,VIDEO JELEK. ULANGI,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
JULY,30/07/2024,TOMPOTANA,E,3,E3,5,12,7:38,8:56,-5.49282,119.31198,80,70,30_07_2024_0738_C12_D5_TMPE3,3,1:18,B11,SUNNY,0.57,D,,0:26:07,0:26:08,0:21:52,,,,1:14:07,0:10:00,0:01:52,1:02:15,100,100,,9,8,,,NA,1,0:37:30,0:27:30,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:11:27,0:01:27,,,NA,,,NA,4,0:17:06,0:07:06,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,11,1:07:57,0:57:57,1,0:24:45,0:14:45,,,NA,,,NA,,,NA,,,NA,1,0:38:31,0:28:31,,,NA,,,NA,,,NA,,,NA,
JULY,31/07/2023,TOMPOTANA,D,1,D1,1,14,6:40,9:24,-5.479324,119.311574,90,80,31_07_2024_0640_C14_D1_TMPD1,4,2:44,B20,SUNNY,0.57,I,,0:25:44,0:25:43,0:25:43,0:03:41,,,1:20:51,0:05:28,0:14:22,1:01:01,100,10,,5,4,1,1:02:00,0:56:32,16,0:06:17,0:00:49,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:06:47,0:01:19,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:07:18,0:01:50,4,0:36:46,0:31:18,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
JULY,31/07/2023,TOMPOTANA,L,3,L3,2,1,6:45,9:27,-5.47936,119.312033,78,67,31_07_2024_0645_C1_D2_TMPL3,2,2:42,B25,SUNNY,0.57,I,,0:41:44,0:34:21,,,,,1:16:05,0:15:00,,1:01:05,100,90,,4,3,1,1:03:56,0:48:56,27,0:15,0:00:21,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,6,0:16:27,0:01:27,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
JULY,31/07/2023,TOMPOTANA,L,2,L2,3,5,7:00,9:16,-5.481132,119.31211,85,61,31_07_2024_0700_C5_D3_TMPL2,3,2:16,B2,SUNNY,0.6,I,,0:34:50,0:32:49,0:18:36,,,,1:26:15,0:06:30,0:18:36,1:01:09,100,100,,4,2,1,0:37:18,0:30:48,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:08:35,0:02:05,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:47:21,0:40:51,,,NA,
JULY,31/07/2023,TOMPOTANA,L,1,L1,4,CNEW,7:17,9:09,-5.48188,119.311182,80,70,31_07_2024_0717_CNEW_D4_TMPL1,3,1:52,BN2,SUNNY,0.61,D,,0:21:23,0:21:24,0:19:34,,,,1:02:21,0:02:30,,0:59:51,90,60,,3,3,,,NA,1,0:04:22,0:01:52,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:30:46,0:28:16,,,NA,,,NA,,,NA,,,NA,,,NA,4,0:47:29,0:44:59,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
JULY,31/07/2023,TOMPOTANA,E,2,E2,5,12,7:38,8:57,-5.491987,119.312573,84,79,31_07_2024_0738_C12_D5_TMPE2,2,1:19,B19,SUNNY,0.61,D,REDO,0:52:03,0:30:29,,,,,1:22:32,0:12:32,0:08:22,1:01:38,100,70,,8,7,1,0:47:11,0:34:39,,,NA,,,NA,,,NA,,,NA,1,0:44:07,0:31:35,,,NA,,,NA,1,0:47:36,0:35:04,,,NA,,,NA,,,NA,1,1:11:31,0:58:59,,,NA,2,0:42:52,0:30:20,,,NA,,,NA,1,0:14:15,0:01:43,2,0:18:22,0:05:50,,,NA,,,NA,1,1:06:18,0:53:46,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
