MONTH,DATE,DESA,SITE_TYPE,SITE_NO,SITENAME_COMBINE,DEPLOYMENT,NO_CAMERA,TIME_DROPPED,TIME_PICKEDUP,LATITUDE,LONGITUDE,WATER_DEPTH_BEFORE,WATER_DEPTH_AFTER,VIDEO_FILENAME,NO_FILES,TIME_TOTALFOOTAGE,NO_BATTERY,WEATHER,TIDE_HEIGHT,TIDE_DIRECTION,NOTES_FIELD,F1_TIME,F2_TIME,F3_TIME,F4_TIME,F5_TIME,F6_TIME,TOTALTIME_RECORDING,ANALYSISTIME_START,ANALYSISTIME_END,TOTALTIME_ANALYSIS,VISIBILITY,VEGITATION,NOTES_TIME,NO_ALLSPECIES,NO_FISHSPECIES,MAXN_UNIDGUPPY,TIME_1STUNIDGUPPY,T1_UNIDGUPPY,MAXN_GUPPYBOTH,TIME_1STGUPPYBOTH,T1_GUPPYBOTH,MAXN_GUPPYA,TIME_1STGUPPYA,T1_GUPPYA,MAXN_GUPPYB,TIME_1STGUPPYB,T1_GUPPYB,MAXN_GUPPYC,TIME_1STGUPPYC,T1_GUPPYC,MAXN_GARONGGONG,TIME_1STGARONGGONG,T1_GARONGGONG,MAXN_BLOWFISH,TIME_1STBLOWFISH,T1_BLOWFISH,MAXN_FISHD,TIME_1STFISHD,T1_FISHD,MAXN_FISHE,TIME_1STFISHE,T1_FISHE,MAXN_FISHF,TIME_1STFISHF,T1_FISHF,MAXN_FISHG,TIME_1STFISHG,T1_FISHG,MAXN_FISHH,TIME_1STFISHH,T1_FISHH,MAXN_FISHK,TIME_1STFISHK,T1_FISHK,MAXN_FISHL,TIME_1STFISHL,T1_FISHL,MAXN_FISHM,TIME_1STFISHM,T1_FISHM,MAXN_FISHN,TIME_1STFISHN,T1_FISHN,MAXN_FISHO,TIME_1STFISHO,T1_FISHO,MAXN_KERONGKERONG,TIME_1STKERONGKERONG,T1_KERONGKERONG,MAXN_YL,TIME_1STYL,T1_YL,MAXN_BFLY1,TIME_1STBFLY1,T1_BFLY1,MAXN_FISHJ,TIME_FISHJ,T1_FISHJ,MAXN_FISHCHEETAGIRLZ,TIME_1STCHEETAGIRLZ,T1_FISHCHEETAGIRLZ,MAXN_VERTFISH,TIME_1STVERTFISH,T1_VERTFISH,MAXN_BIGBOI,TIME_1STBIGBOI,T1_BIGBOI,MAXN_SANDFISH,TIME_1STSANDFISH,T1_SANDFISH,MAXN_PIPEFISH,TIME_1STPIPEFISH,T1_PIPEFISH,NOTES_SPECIES
AUGUST,26/08/2024,TOMPOTANA,E,2,E2,1,12,6:29,8:22,-5.491987,119.312573,75,55,26_08_2024_0624_C12_D1_TMPE2,2,1:53,B6,SUNNY,0.4,D,,0:51:12,0:18:51,,,,,1:10:03,0:05:00,0:05:00,1:00:03,100,80,,6,5,2,0:14:36,0:09:36,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:09:15,0:04:15,,,NA,1,0:44:35,0:39:35,2,0:54:35,0:49:35,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:25:20,0:20:20,,,NA,,,NA,,,NA,1,0:29:34,0:24:34,,,NA,
AUGUST,26/08/2024,TOMPOTANA,E,3,E3,2,14,6:35,8:25,-5.49282,119.31198,55,35,26_08_2024_0633_C14_D2_TMPE3,3,1:50,B3,SUNNY,0.4,D,CHECK BATT,0:27:16,0:25:43,0:07:13,,,,1:00:12,0:05:00,,0:55:12,100,100,,5,4,,,NA,1,0:08:07,0:03:07,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,6,0:05:36,0:00:36,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:52:49,0:47:49,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:36:28,0:31:28,,,NA,
AUGUST,26/08/2024,TOMPOTANA,E,1,E1,3,11,6:45,8:31,-5.490191,119.311859,75,50,26_08_2024_0645_C11_D3_TMPE1,3,1:46,B25,SUNNY,0.32,D,,0:38:29,0:40:10,0:02:12,,,,1:20:51,0:15:00,0:05:12,1:00:39,100,75,,2,2,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,85,0:15:00,0:00:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:31:44,0:16:44,,,NA,,,NA,,,NA,,,NA,
AUGUST,26/08/2024,TOMPOTANA,D,2,D2,4,5,6:51,8:36,-5.488066,119.313127,45,15,26_08_2024_0651_C5_D4_TMPD2,3,1:45,B24,SUNNY,0.32,D,,0:27:42,0:05:51,0:07:15,,,,0:40:48,0:05:51,,0:34:57,100,100,,7,6,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:17:35,0:11:44,,,NA,1,0:18:20,0:12:29,,,NA,,,NA,2,0:25:58,0:20:07,,,NA,1,0:06:25,0:00:34,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:31:14,0:25:23,,,NA,
AUGUST,26/08/2024,TOMPOTANA,D,3,D3,5,CNEW,6:58,8:40,-5.488916,119.309448,55,23,26_08_2024_0658_CNEW_D5_TMPD3,6,1:42,BN1,SUNNY,0.32,D,,0:22:32,0:21:24,0:21:24,0:21:24,0:21:34,0:02:12,1:50:30,0:06:14,0:43:34,1:00:42,100,100,,6,4,,,NA,2,0:29:37,0:23:23,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,4,0:17:29,0:11:15,,,NA,,,NA,1,0:20:11,0:13:57,,,NA,,,NA,,,NA,1,0:22:17,0:16:03,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
AUGUST,27/08/2024,TOMPOTANA,L,2,L2,1,11,7:16,9:10,-5.481132,119.31211,65,30,27_08_2024_0716_C11_D1_TMPL2,3,1:54,UNNAME,SUNNY,0.38,D,,0:29:49,0:26:59,0:24:18,,,,1:21:06,0:06:46,0:13:18,1:01:02,100,100,,5,4,,,NA,5,0:08:32,0:01:46,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,7,0:11:27,0:04:41,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:29:44,0:22:58,3,0:16:19,0:09:33,
AUGUST,27/08/2024,TOMPOTANA,L,1,L1,2,5,7:23,9:15,-5.481016,119.311281,62,30,27_08_2024_0723_C5_D2_TMPL1,3,1:52,B21,SUNNY,0.38,D,,0:36:59,0:33:22,0:17:26,,,,1:27:47,0:06:53,0:20:49,1:00:05,100,100,,5,3,,,NA,1,0:31,0:25:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,11,0:43:24,0:36:31,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:30,0:23:24,
AUGUST,27/08/2024,TOMPOTANA,L,3,L3,3,12,7:35,8:59,-5.47936,119.312033,54,29,27_08_2024_0735_C12_D3_TMPL3,3,1:24,B20,SUNNY,0.38,D,,0:40:31,0:30:37,0:14:16,,,,1:25:24,0:06:39,0:18:16,1:00:29,100,100,,4,4,,,NA,15,0:07:31,0:00:52,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:36:28,0:29:49,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:41:17,0:34:38,3,0:07:36,0:00:57,
AUGUST,27/08/2024,TOMPOTANA,D,1,D1,4,CNEW,7:40,9:02,-5.479324,119.311574,67,44,27_08_2024_0740_CNEW_D4_TMPD1,3,1:22,B18,SUNNY,0.38,D,,0:21:33,0:21:24,0:16:34,,,,0:59:31,0:06:30,,0:53:01,70,100,,3,2,,,NA,4,0:12:22,0:05:52,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,3,0:06:44,0:00:14,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
AUGUST,28/08/2024,LANTANGPEO,D,4,D4,1,CNEW,7:28,9:32,-5.468826,119.300459,50,18,28_08_2024_0728_CNEW_D1_LTPD4,5,2:04,B21,SUNNY,0.5,D,,0:30:21,0:21:28,0:21:23,0:21:24,0:06:38,,1:41:14,0:06:01,0:33:09,1:02:04,90,80,,4,2,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:19:20,0:13:19,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:36:52,0:30:51,,,NA,
