MONTH,DATE,DESA,SITE_TYPE,SITE_NO,SITENAME_COMBINE,DEPLOYMENT,NO_CAMERA,TIME_DROPPED,TIME_PICKEDUP,LATITUDE,LONGITUDE,WATER_DEPTH_BEFORE,WATER_DEPTH_AFTER,VIDEO_FILENAME,NO_FILES,TIME_TOTALFOOTAGE,NO_BATTERY,WEATHER,TIDE_HEIGHT,TIDE_DIRECTION,NOTES_FIELD,F1_TIME,F2_TIME,F3_TIME,F4_TIME,F5_TIME,F6_TIME,TOTALTIME_RECORDING,ANALYSISTIME_START,ANALYSISTIME_END,TOTALTIME_ANALYSIS,VISIBILITY,VEGITATION,NOTES_TIME,NO_ALLSPECIES,NO_FISHSPECIES,MAXN_UNIDGUPPY,TIME_1STUNIDGUPPY,T1_UNIDGUPPY,MAXN_GUPPYBOTH,TIME_1STGUPPYBOTH,T1_GUPPYBOTH,MAXN_GUPPYA,TIME_1STGUPPYA,T1_GUPPYA,MAXN_GUPPYB,TIME_1STGUPPYB,T1_GUPPYB,MAXN_GUPPYC,TIME_1STGUPPYC,T1_GUPPYC,MAXN_BLOWFISH,TIME_1STBLOWFISH,T1_BLOWFISH,MAXN_FISHA,TIME_1STFISHA,T1_FISHA,MAXN_FISHD,TIME_1STFISHD,T1_FISHD,MAXN_FISHE,TIME_1STFISHE,T1_FISHE,MAXN_FISHF,TIME_1STFISHF,T1_FISHF,MAXN_FISHG,TIME_1STFISHG,T1_FISHG,MAXN_FISHH,TIME_1STFISHH,T1_FISHH,MAXN_FISHK,TIME_1STFISHK,T1_FISHK,MAXN_FISHL,TIME_1STFISHL,T1_FISHL,MAXN_FISHM,TIME_1STFISHM,T1_FISHM,MAXN_FISHN,TIME_1STFISHN,T1_FISHN,MAXN_KERONGKERONG,TIME_1STKERONGKERONG,T1_KERONGKERONG,MAXN_YL,TIME_1STYL,T1_YL,MAXN_BFLY1,TIME_1STBFLY1,T1_BFLY1,MAXN_FISHJ,TIME_FISHJ,T1_FISHJ,MAXN_VERTFISH,TIME_1STVERTFISH,T1_VERTFISH,MAXN_BIGBOI,TIME_1STBIGBOI,T1_BIGBOI,MAXN_SANDFISH,TIME_SANDFISH,T1_SANDFISH,MAXN_PIPEFISH,TIME_1STPIPEFISH,T1_PIPEFISH,MAXN_MUDCRAB,TIME_1STMUDCRAB,T1_MUDCRAB,MAXN_SWIMMERCRAB,TIME_1STSWIMMERCRAB,T1_SWIMMERCRAB,MAXN_SHRIMP,TIME_1STSHRIMP,T1_SHRIMP,MAXN_ULAR,TIME_1STULAR,T1_ULAR,NOTES_SPECIES
SEPTEMBER,28/09/2024,LATANGPEO,E,5,E5,1,1,6:08,8:35,-5.462089,119.286874,62,56,28_09_2024_0608_C1_D1_LTPE5,3,2:27,B24,SUNNY,0.32,I,,0:36:35,0:25:57,0:08:10,,,,1:10:42,0:05:37,,1:05:05,100,95,,4,2,1,0:05:37,0:00:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,1:07,1:02:20,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:13:19,0:07:42,3,0:05:53,0:00:16,1,1:11:36,1:05:59,,,NA,,,NA,
SEPTEMBER,28/09/2024,LATANGPEO,E,6,E6,2,CNEW,6:20,8:45,-5.463902,119.28802,39,33,28_09_2024_0620_CNEW_D2_LTPE6,4,2:25,B6,SUNNY,0.35,I,,0:21:24,0:21:24,0:21:24,0:12:38,,,1:16:50,0:06:14,0:10:00,1:00:36,100,70,,7,7,,,NA,,,NA,23,0:06:26,0:00:12,,,NA,,,NA,1,0:13:57,0:07:43,,,NA,,,NA,,,NA,19,0:22:41,0:16:27,,,NA,,,NA,5,0:24:20,0:18:06,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:06:23,0:00:09,1,0:25:19,0:19:05,3,0:08:54,0:02:40,,,NA,,,NA,,,NA,,,NA,
SEPTEMBER,28/09/2024,LATANGPEO,E,4,E4,3,11,6:26,8:42,-5.463951,119.287291,65,60,28_09_2024_0626_C11_D3_LTPE4,3,2:16,B21,SUNNY,0.35,I,,0:26:54,0:25:43,0:18:10,,,,1:10:47,0:05:38,,1:05:09,100,70,,5,4,,,NA,,,NA,29,0:06:05,0:00:27,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,8,0:16:10,0:10:32,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:49:06,0:43:28,1,0:12:37,0:06:59,3,0:09:27,0:03:49,,,NA,,,NA,,,NA,
SEPTEMBER,28/09/2024,LATANGPEO,L,4,L4,4,5,6:42,7:57,-5.466377,119.30229,39,36,28_09_2024_0642_C5_D4_LTPL4,3,1:15,B19,SUNNY,0.35,I,,0:32:45,0:25:43,0:04:17,,,,1:02:45,0:06:18,,0:56:27,100,100,,5,4,,,NA,3,0:09:40,0:03:22,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:25:10,0:18:52,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,3,0:09:23,0:03:05,1,0:29:36,0:23:18,1,0:12:23,0:06:05,,,NA,,,NA,,,NA,
SEPTEMBER,28/09/2024,LATANGPEO,D,5,D5,7,5,8:08,10:09,-5.468265,119.302079,30,10,28_09_2024_0808_C5_D7_LTPD5,3,2:01,B20,SUNNY,0.36,D,,0:25:43,0:25:43,0:14:55,,,,1:06:21,0:05:30,,1:00:51,100,95,,5,3,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:11:30,0:06:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:23:07,0:17:37,,,NA,1,0:18:28,0:12:58,2,0:27:45,0:22:15,1,0:52:18,0:46:48,,,NA,,,NA,
SEPTEMBER,28/09/2024,LATANGPEO,D,6,D6,5,12,6:47,8:03,-5.467135,119.302812,31,30,28_09_2024_0647_C12_D5_LTPD6,3,1:16,UNNAME,SUNNY,0.37,I,,0:25:43,0:25:43,0:06:21,,,,0:57:47,0:05:30,,0:52:17,100,95,,4,3,,,NA,1,0:20:09,0:14:39,,,NA,,,NA,,,NA,1,0:15:57,0:10:27,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:23:54,0:18:24,,,NA,1,0:07:33,0:02:03,,,NA,,,NA,,,NA,
SEPTEMBER,28/09/2024,LATANGPEO,D,4,D4,8,12,8:19,10:00,-5.468826,119.300459,40,20,28_09_2024_0819_C12_D8_LTPD4,4,1:41,B14,SUNNY,0.33,D,,0:27:34,0:28:37,0:25:56,0:00:30,,,1:22:37,0:11:30,,1:11:07,90,95,,5,3,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:15:20,0:03:50,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:43,0:31:33,2,0:47,0:35:46,,,NA,3,0:12,0:00:47,3,0:13,0:02:27,,,NA,
SEPTEMBER,28/09/2024,LATANGPEO,L,5,L5,6,14,6:53,8:09,-5.468251,119.301957,26,28,28_09_2024_0653_C14_D6_LTPL5,2,1:16,BN2,SUNNY,0.37,I,,0:42:10,0:34:40,,,,,1:16:50,0:07:35,0:05:36,1:03:39,100,25,,5,4,,,NA,7,0:08:07,0:00:32,,,NA,,,NA,,,NA,1,0:16:30,0:08:55,,,NA,,,NA,,,NA,1,0:38:37,0:31:02,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,4,0:17:55,0:10:20,,,NA,1,0:28:27,0:20:52,,,NA,,,NA,
SEPTEMBER,28/09/2024,LATANGPEO,L,6,L6,9,14,8:19,10:01,-5.468651,119.300428,40,25,28_09_2024_0819_C14_D9_LTPL6,3,1:42,B3,SUNNY,0.33,D,,0:32:24,0:32:57,0:20:04,,,,1:25:25,0:06:09,0:15:00,1:04:16,60,95,,5,3,1,0:19:03,0:12:54,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:22:56,0:16:47,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:17:19,0:11:10,5,0:14:46,0:08:37,2,0:33:29,0:27:20,1,0:19:54,0:13:45,,,NA,,,NA,
SEPTEMBER,29/09/2024,TOMPOTANAH,L,3,L3,1,5,7:08,9:29,-5.47936,119.312033,50,52,29_09_2024_0708_C5_D1_TMPL3,3,2:21,B24,SUNNY,0.25,I,,0:39:54,0:29:29,0:11:44,,,,1:21:07,0:15:00,,1:06:07,80,95,,3,3,,,NA,6,0:29:03,0:14:03,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:31:19,0:16:19,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:31:12,0:16:12,,,NA,,,NA,,,NA,,,NA,
SEPTEMBER,29/09/2024,TOMPOTANAH,D,1,D1,2,11,7:11,9:31,-5.479324,119.311574,61,50,29_09_2024_0711_C11_D2_TMPD1,3,2:20,B21,SUNNY,0.25,I,,0:25:43,0:25:42,0:15:45,,,,1:07:10,0:05:15,,1:01:55,100,100,,4,3,,,NA,3,0:09:30,0:04:15,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,6,0:05:15,0:00:00,1,0:39:31,0:34:16,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,3,0:05,0:00:00,,,NA,,,NA,,,NA,
SEPTEMBER,29/09/2024,TOMPOTANAH,L,2,L2,3,1,7:17,9:23,-5.481132,119.31211,55,54,29_09_2024_0717_C1_D3_TMPL2,3,2:06,B19,SUNNY,0.27,I,,0:31:57,0:27:22,0:14:30,,,,1:13:49,0:10:25,,1:03:24,80,85,,5,4,,,NA,9,0:10:26,0:00:01,,,NA,,,NA,,,NA,,,NA,1,0:35:35,0:25:10,,,NA,,,NA,4,0:10:34,0:00:09,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:12:19,0:01:54,,,NA,1,0:41:00,0:30:35,,,NA,,,NA,
SEPTEMBER,29/09/2024,TOMPOTANAH,L,1,L1,4,CNEW,7:33,9:16,-5.481016,119.311281,53,51,29_09_2024_0753_CNEW_D4_TMPL1,5,1:43,B20,SUNNY,0.27,I,,0:21:24,0:21:24,0:21:24,0:21:24,0:14:19,,1:39:55,0:05:45,0:29:19,1:04:51,60,100,,5,3,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,16,0:05:45,0:00:00,,,NA,,,NA,1,0:11:35,0:05:50,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:07:46,0:02:01,,,NA,1,0:13:07,0:07:22,,,NA,1,0:19:26,0:13:41,
SEPTEMBER,29/09/2024,TOMPOTANAH,D,2,D2,5,12,7:41,9:08,-5.488066,119.313127,41,40,29_09_2024_0741_C12_D5_TMPD2,4,1:27,BN2,SUNNY,0.27,I,,0:25:43,0:25:43,0:25:42,0:01:23,,,1:18:31,0:05:45,0:10:00,1:02:46,90,90,,5,5,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:05:45,0:00:00,1,0:38:24,0:32:39,,,NA,1,0:21:08,0:15:23,,,NA,,,NA,1,0:16,0:10:30,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:23:33,0:17:48,,,NA,,,NA,,,NA,,,NA,,,NA,
SEPTEMBER,29/09/2024,TOMPOTANAH,D,3,D3,6,14,7:47,9:04,-5.488916,119.309448,41,49,29_09_2024_0747_C14_D6_TMPD3,3,1:17,B6,SUNNY,0.28,I,,0:25:24,0:25:43,0:08:09,,,,0:59:16,0:06:20,,0:52:56,90,100,,2,2,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:08:23,0:02:03,,,NA,,,NA,1,0:37:02,0:30:42,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
