SciName,Name_Bahasa,Name_Data,ID_Level,Name_Local,Ditangkap
Parioglossus,,DOTDASH,Genus,"Berang-berang (LTP)
Totok (TMP)
",
Parioglossus,,GUPPPYBOTH,Genus,"Berang-berang (LTP)
Totok (TMP)
",
Fibramia lateralis,,FISHF,Species,"Besing-besing
",sebagai umpan
Fibramia lateralis,,GUPPYC,Species,"Besing-B=besing
",sebagai umpan
Arothron,Buntal,BLOWFISH,Genus,Buntal,dimakan
Lutjanus ehrenbergii,Kakap garis,FISHE,Genus,Ganrang eja,dimakan
Lutjanus ehrenbergii,Kakap garis,EYELINER,Genus,Ganrang eja,dimakan
Lutjanus argentimaculatus ,Ikan Lencam,FISHG,Species,"Katamba (LTP)
Sikuda (TMP)
",dimakan
Lutjanus argentimaculatus ,Ikan Lencam,FISHM,Species,"Katamba (LTP)
Sikuda (TMP)
",dimakan
Chaetodon,ikan kepe kepe,FISHYL,Genus,Ikan karang,hias
Gerres oyena,Ikan Kapas-kapas,FISHK,Species,Birangkasa,dimakan
Gerres oyena,Ikan Kapas-kapas,FISHL,Species,Birangkasa,dimakan
Scatophagus argus,Ikan Kiper,FISHJ,Species,"Titam/Titang
",dimakan
Terapon jarbua ,Kerong-Kerong,KERONGKERONG,Species,Kerong-kerong,
Hyporhampus,Ikan julung-julung,PIPEFISH,Genus,Ikan julung-julung,
Sphyraena barracuda,Barakuda,VERTFISH,Species,Berang berang (TMP),dimakan
Sphyraena barracuda,Barakuda,BIGBOI,Species,Berang berang (TMP),dimakan
Toxotes jaculatrix,ikan sumpit,FISHD,Species,"Berang berang (TMP)
Gamasi (LTP)
",
Sphaeramia orbicularis,Besing,FISHN,Species,Besing-besing,dimakan
"mugilidae
",Ikan Belanak,FISHH,Family,balanak,dimakan
Omobranchus,Jabingan,SANDFISH,Genus,Ikan toto,
Omobranchus,Jabingan,LILFREAK,Genus,Ikan toto,
Monodactylus argenteus,https://fishbase.se/ComNames/5807,YELLOWSTRIPE,Species,Ikan Tapi-tapi,
Monodactylus argenteus,https://fishbase.se/ComNames/5807,BFLY1,Species,Ikan Tapi-tapi,
Siganus,ikan baronang,FISHO,Genus,Baronang,dimakan
Siganus,ikan baronang,FISHBT,Genus,Baronang,dimakan
Siganus,ikan baronang,CHEETAGIRLZ,Genus,Baronang,dimakan
Epinephelus coioides,Kerapu,GARRONGGONG,Species,Sunu,dimakan
Carangoides,ikan Kuwe,FISHP,Genus,Juku kebo,dimakan
Carangoides,ikan Kuwe,FISHQ,Genus,Juku kebo,dimakan
Pentapopodus trivittatus,Besing-besing,FISHA,Species,Tontong,
Pervagor nigrolineatus,,WTH,Species,Sukkang,
acrochordus granulatus,Ular kadut,ULAR,Species,Care-care,
Portunidae,,SWIMMER,Genus,Sikuyu balasa,
